review_id,review_type,entry_id,blocker_id,artifact_group,source_path,source_sha256_expected,review_artifact_path,review_artifact_sha256_expected,planned_supplement_path,candidate_bundle_path,required_evidence,reviewer_assertion_required,claim_scope_guard,allowed_decisions,decision_status,reviewer_id,reviewed_at_utc,source_sha256_verified,review_artifact_sha256_verified,reviewer_assertion_confirmed,claim_scope_guard_preserved,failure_condition,approval_gate
PSR-001,redaction_review,PSP-033,PSB-009,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,e9aaea586d2e019f0a0a85c2f73f43868f577416e4c927d8c9aa804f70e364be,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,35e0373d126df82b3f8024804435b1564b774f2245d292ee347329c7837c4938,evidence/trace_bound_controllability_redacted/combined_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,provider-side trace-bound diagnostic summary only; not public text-only verification,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_private_fields_remain; reject_if_trace_bound_only_claim_scope_not_preserved; reject_if_source_or_review_artifact_hash_mismatch,not_approved_template_only
PSR-002,redaction_review,PSP-034,PSB-010,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,51c5f39d1aa8910a7f109e8a4443d65e3a16b08d113c7c27ba04a8ae93cd3105,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,53ab77ddba1b2f0e77e0972bd5d511465e9bc4190e03f93785945d9958a53681,evidence/trace_bound_controllability_redacted/qwen_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,provider-side trace-bound diagnostic summary only; not public text-only verification,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_private_fields_remain; reject_if_trace_bound_only_claim_scope_not_preserved; reject_if_source_or_review_artifact_hash_mismatch,not_approved_template_only
PSR-003,redaction_review,PSP-035,PSB-011,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/llama_blocks.csv,2a017df490422f42df115ae13312a27932d6bf04e303d1b9d36a2a3641f28d50,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,d02bd77465b3ddd37c11b9afea9800a762c4cc2f5940fe712cd609bccde4112c,evidence/trace_bound_controllability_redacted/llama_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/llama_blocks.csv,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,provider-side trace-bound diagnostic summary only; not public text-only verification,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_private_fields_remain; reject_if_trace_bound_only_claim_scope_not_preserved; reject_if_source_or_review_artifact_hash_mismatch,not_approved_template_only
PSR-004,scope_note_review,PSP-036,PSB-012,trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,2c6da64f505f21d271210020c0abaa46d189d7c5cbcb5dd6923dbaec9ace6eae,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/trace_bound_controllability/corpus_manifest.json,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability/corpus_manifest.json,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; public final-text codeword recovery,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-005,scope_note_review,PSP-041,PSB-017,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_curve.csv,fcf9babeeb9a109ef1c5895c6aa06757a919ad897a6ab1f9eb333000f4cede0e,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-006,scope_note_review,PSP-042,PSB-018,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_transform_summary.csv,afe93deb1cfdfb66c1326730f959e49446d4ccf4457640879de00b665bd83cc7,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-007,scope_note_review,PSP-043,PSB-019,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_examples.csv,e5e13d20aa816030e11324a57e9f78545dc083bdf752d60f88331e22c0d48ef0,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-008,scope_note_review,PSP-044,PSB-020,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_summary.json,a322d0493f8b6daedf5dcd57230cf0b6a92d2e610a1a2a4b726d177142d8966e,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-009,scope_note_review,PSP-045,PSB-021,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_report.md,936dccd48337f0badad5307ee25eeb4616606d1cfe7df06e8d041148e2703c4a,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
PSR-010,scope_note_review,PSP-050,PSB-022,stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_results.csv,447401ad936f1164daecbbdd2192f9c139088cc8d41649349f78e1dfa035d03b,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,approved;rejected;hold,pending_not_performed,,,,,,,reject_or_hold_if_allowed_interpretation_missing; reject_if_forbidden_claims_not_preserved; reject_if_artifact_is_interpreted_as_protected_success_or_ownership_proof,not_approved_template_only
