case_id,payload,seed,query_budget,matched_budget_status,case_root,run_root,eval_summary_path,eval_summary_glob,paper_ready_denominator
perinucleus-official-q1-u00-s17,U00,17,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s17/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s17/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u03-s17,U03,17,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s17/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s17/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u12-s17,U12,17,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s17/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s17/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u15-s17,U15,17,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s17/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s17/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u00-s23,U00,23,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s23/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s23/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u03-s23,U03,23,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s23/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s23/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u12-s23,U12,23,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s23/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s23/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u15-s23,U15,23,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s23/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s23/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u00-s29,U00,29,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s29/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s29/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
perinucleus-official-q1-u03-s29,U03,29,1,under_budget_diagnostic,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s29/runs,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s29/runs/perinucleus_official_qwen_final/*/eval_summary.json,True
