shard_index,source_shard_dir,block_id,arm,accept,complete_pairs,required_pairs,selected_coordinates_observed,selected_coordinates_total,min_pair_support,matched_surface_count,selected_surface_count,checksum_valid,bits_match_condition,forbidden_public_surface_count,format_scrub_mode
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,protected,False,0,8,0,16,0,0,0,False,False,1,all
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_key,False,0,8,0,16,0,0,0,False,False,1,all
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_payload,False,0,8,0,16,0,0,0,False,False,1,all
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,raw,False,0,8,0,16,0,0,0,False,False,4,all
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,protected,False,0,8,0,16,0,0,0,False,False,1,none
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_key,False,0,8,0,16,0,0,0,False,False,1,none
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_payload,False,0,8,0,16,0,0,0,False,False,1,none
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,raw,False,0,8,0,16,0,0,0,False,False,4,none
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,protected,False,0,8,0,16,0,0,0,False,False,2,all
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,wrong_key,False,0,8,0,16,0,0,0,False,False,2,all
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,wrong_payload,False,0,8,0,16,0,0,0,False,False,2,all
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,raw,False,0,8,0,16,0,0,0,False,False,3,all
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,protected,False,0,8,0,16,0,0,0,False,False,2,none
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,wrong_key,False,0,8,0,16,0,0,0,False,False,2,none
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,wrong_payload,False,0,8,0,16,0,0,0,False,False,2,none
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_01,raw,False,0,8,0,16,0,0,0,False,False,3,none
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,protected,False,0,8,0,16,0,0,0,False,False,0,all
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,wrong_key,False,0,8,0,16,0,0,0,False,False,0,all
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,wrong_payload,False,0,8,0,16,0,0,0,False,False,0,all
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,raw,False,0,8,0,16,0,0,0,False,False,0,all
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,protected,False,0,8,0,16,0,0,0,False,False,0,none
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,wrong_key,False,0,8,0,16,0,0,0,False,False,0,none
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,wrong_payload,False,0,8,0,16,0,0,0,False,False,0,none
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_02,raw,False,0,8,0,16,0,0,0,False,False,0,none
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,protected,False,0,8,0,16,0,0,0,False,False,2,all
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,wrong_key,False,0,8,0,16,0,0,0,False,False,2,all
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,wrong_payload,False,0,8,0,16,0,0,0,False,False,2,all
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,raw,False,0,8,0,16,0,0,0,False,False,0,all
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,protected,False,0,8,0,16,0,0,0,False,False,2,none
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,wrong_key,False,0,8,0,16,0,0,0,False,False,2,none
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,wrong_payload,False,0,8,0,16,0,0,0,False,False,2,none
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_03,raw,False,0,8,0,16,0,0,0,False,False,0,none
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_04,protected,False,0,8,0,16,0,0,0,False,False,2,all
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_04,wrong_key,False,0,8,0,16,0,0,0,False,False,2,all
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_04,wrong_payload,False,0,8,0,16,0,0,0,False,False,2,all
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_04,raw,False,0,8,0,16,0,0,0,False,False,1,all
