model_family,model_id,source_job_id,route_family,block_id,shard_index,arm,source_condition,accept,accept_ignoring_quality,decoded_bits,expected_bits,bits_match_condition,checksum_valid,complete_pairs,required_pairs,wrong_key_accept,wrong_payload_accept,trace_binding_valid,forbidden_public_surface_count,duplicate_response_hash_count,substrate_interpretation
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_00_block_00,0,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_00_block_00,0,raw,raw,False,False,01-0-1-1,10100101,False,False,5,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_00_block_00,0,task_only,task_only,False,False,01-0---1,10100101,False,False,4,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_00_block_00,0,wrong_key,protected,False,False,10100101,01110011,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_00_block_00,0,wrong_payload,protected,False,False,10100101,01011010,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_01_block_00,1,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_01_block_00,1,raw,raw,False,False,-1-0---1,10100101,False,False,3,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_01_block_00,1,task_only,task_only,False,False,-1-0-0-1,10100101,False,False,4,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_01_block_00,1,wrong_key,protected,False,False,10100101,01110011,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_01_block_00,1,wrong_payload,protected,False,False,10100101,01011010,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_02_block_00,2,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_02_block_00,2,raw,raw,False,False,01-011-1,10100101,False,False,6,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_02_block_00,2,task_only,task_only,False,False,01-000-1,10100101,False,False,6,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_02_block_00,2,wrong_key,protected,False,False,10100101,01110011,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_02_block_00,2,wrong_payload,protected,False,False,10100101,01011010,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_03_block_00,3,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_03_block_00,3,raw,raw,False,False,110-0011,10100101,False,False,7,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_03_block_00,3,task_only,task_only,False,False,----00-1,10100101,False,False,3,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_03_block_00,3,wrong_key,protected,False,False,10100101,01110011,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_03_block_00,3,wrong_payload,protected,False,False,10100101,01011010,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_04_block_00,4,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_04_block_00,4,raw,raw,False,False,01-0--01,10100101,False,False,5,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_04_block_00,4,task_only,task_only,False,False,-1100---,10100101,False,False,4,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_04_block_00,4,wrong_key,protected,False,False,10100101,01110011,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_04_block_00,4,wrong_payload,protected,False,False,10100101,01011010,False,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_05_block_00,5,protected,protected,True,True,10100101,10100101,True,True,8,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_05_block_00,5,raw,raw,False,False,01-0-001,10100101,False,False,6,8,False,False,True,0,0,trace_bound_first_divergence_controllability
qwen,Qwen/Qwen2.5-7B-Instruct,870210_plus_870987,r4_qwen_same_contract_locked_scale_first_divergence,shard_05_block_00,5,task_only,task_only,False,False,01-00001,10100101,False,False,7,8,False,False,True,0,0,trace_bound_first_divergence_controllability
