artifact_group,source_path,boundary_decision,staging_decision,include_in_public_supplement_plan,planned_supplement_path,planned_transform,execution_required,manual_review_required,residual_risk,release_path_reason,release_claim_scope_note
manuscript_source,manuscripts/69db2644566dcc36c9da320e/main.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/main.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_01_introduction.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_02_related_work.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_03_problem_setup.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_04_tokenizer_alignment.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_05_bucket_level_injection.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_06_deterministic_verification.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_07_experiments.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_08_discussion_limitations.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/section_09_conclusion.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/proofs.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/proofs.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/formal_substrate_gap.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/formal_substrate_gap.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/attack_examples.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/attack_examples.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/extended_related_work.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/extended_related_work.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/reproducibility.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/asset_licenses.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/asset_licenses.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility_commands.tex,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/appendix/reproducibility_commands.tex,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/references.bib,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/references.bib,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_source,manuscripts/69db2644566dcc36c9da320e/neurips_2026.sty,ready_for_reviewed_public_supplement,direct_include_candidate,True,manuscript_source/neurips_2026.sty,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,preserve active LaTeX source tree under manuscript_source,preserves VSG substrate-gap claim boundary
manuscript_figures,manuscripts/69db2644566dcc36c9da320e/figures/figure_1_verification_substrate_map.png,ready_for_reviewed_public_supplement,direct_include_candidate,True,figures/figure_1_verification_substrate_map.png,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,place rendered manuscript figures under figures,preserves VSG substrate-gap claim boundary
manuscript_figures,manuscripts/69db2644566dcc36c9da320e/figures/figure_2_first_divergence_diagnostic.png,ready_for_reviewed_public_supplement,direct_include_candidate,True,figures/figure_2_first_divergence_diagnostic.png,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,place rendered manuscript figures under figures,preserves VSG substrate-gap claim boundary
manuscript_figures,manuscripts/69db2644566dcc36c9da320e/figures/figure_3_controllability_vs_observability.png,ready_for_reviewed_public_supplement,direct_include_candidate,True,figures/figure_3_controllability_vs_observability.png,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,place rendered manuscript figures under figures,preserves VSG substrate-gap claim boundary
manuscript_figures,manuscripts/69db2644566dcc36c9da320e/figures/figure_4_public_predicate_attack_ladder.png,ready_for_reviewed_public_supplement,direct_include_candidate,True,figures/figure_4_public_predicate_attack_ladder.png,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,place rendered manuscript figures under figures,preserves VSG substrate-gap claim boundary
manuscript_figures,manuscripts/69db2644566dcc36c9da320e/figures/figure_5_ownership_scenario_heatmap.png,ready_for_reviewed_public_supplement,direct_include_candidate,True,figures/figure_5_ownership_scenario_heatmap.png,copy_exact_file_after_final_license_scope_check,False,False,final license and scope check still required before publication,place rendered manuscript figures under figures,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/trace_bound_accepts.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/trace_bound_accepts.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/public_text_verifier_baselines.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/public_text_verifier_baselines.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/template_leakage_summary.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/template_leakage_summary.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/attack_ladder_summary.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/attack_ladder_summary.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/ownership_scenario_heatmap.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/ownership_scenario_heatmap.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/claim_ledger.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/claim_ledger.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_summary.json,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/figure_data_summary.json,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
figure_data,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_manifest.json,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/figure_data/figure_data_manifest.json,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place figure/table inputs under evidence/figure_data,preserves VSG substrate-gap claim boundary
trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,redact_or_summarize_before_release,redacted_derivative_candidate,True,evidence/trace_bound_controllability_redacted/combined_blocks.csv,derive_redacted_csv_drop_source_shard_dir_and_private_path_fields,True,True,private path fields must be removed or summarized before release,place only redacted trace-bound derivatives under trace_bound_controllability_redacted,provider-side trace-bound diagnostic summary only; not public text-only verification
trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,redact_or_summarize_before_release,redacted_derivative_candidate,True,evidence/trace_bound_controllability_redacted/qwen_blocks.csv,derive_redacted_csv_drop_source_shard_dir_and_private_path_fields,True,True,private path fields must be removed or summarized before release,place only redacted trace-bound derivatives under trace_bound_controllability_redacted,provider-side trace-bound diagnostic summary only; not public text-only verification
trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,redact_or_summarize_before_release,redacted_derivative_candidate,True,evidence/trace_bound_controllability_redacted/llama_blocks.csv,derive_redacted_csv_drop_source_shard_dir_and_private_path_fields,True,True,private path fields must be removed or summarized before release,place only redacted trace-bound derivatives under trace_bound_controllability_redacted,provider-side trace-bound diagnostic summary only; not public text-only verification
trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,scope_review_before_release,scope_note_gated_candidate,True,evidence/trace_bound_controllability/corpus_manifest.json,attach_scope_note_or_replace_with_derived_summary_before_copy,True,True,scope note or derived summary must be reviewed before inclusion,place trace-bound diagnostic summaries under trace_bound_controllability after scope review,provider-side trace-bound diagnostic summary only; not public text-only verification
public_text_verifier_baselines,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_results.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/public_text_verifier_baselines/public_text_verifier_results.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place public_text_verifier_baselines artifacts under the mapped supplement group,preserves VSG substrate-gap claim boundary
public_text_verifier_baselines,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_block_scores.csv,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/public_text_verifier_baselines/public_text_verifier_block_scores.csv,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place public_text_verifier_baselines artifacts under the mapped supplement group,preserves VSG substrate-gap claim boundary
public_text_verifier_baselines,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_summary.json,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/public_text_verifier_baselines/public_text_verifier_summary.json,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place public_text_verifier_baselines artifacts under the mapped supplement group,preserves VSG substrate-gap claim boundary
public_text_verifier_baselines,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_report.md,stage_or_copy_to_supplement_before_release,stage_or_copy_candidate,True,evidence/public_text_verifier_baselines/public_text_verifier_report.md,copy_or_commit_exact_file_after_license_scope_check,True,False,file is not yet in a reviewed public supplement bundle,place public_text_verifier_baselines artifacts under the mapped supplement group,preserves VSG substrate-gap claim boundary
