prompt_index,prompt_id,coordination_domain,prompt_text
0,r4_cover_dev_1ccbe55d90dbdfd970c1,True,"Give practical advice for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
1,r4_cover_dev_647241e474bc9f72743f,True,"Explain a practical approach for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
2,r4_cover_dev_f6f6f037ab55a5fadf37,True,"Give maintenance guidance for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
3,r4_cover_dev_4332ab1dae66ae4457b7,True,"Describe a planning approach for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
4,r4_cover_dev_1051cd4b3abdaf8bc663,True,"Describe how to troubleshoot common issues for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
5,r4_cover_dev_9b4a1e0af1fdbde7fe70,True,"Give a natural quality-and-safety checklist for a new team working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
6,r4_cover_dev_a275d674a71e3490e92d,False,"Give practical advice for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
7,r4_cover_dev_207296b66a9550fcfa02,False,"Explain a practical approach for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
8,r4_cover_dev_1360bec4104fefa228a0,False,"Give maintenance guidance for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
9,r4_cover_dev_d9e73241b54e0288ffae,False,"Describe a planning approach for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
10,r4_cover_dev_3e70608cf94856ecf363,False,"Describe how to troubleshoot common issues for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
11,r4_cover_dev_fd00beaaa97d521ff2b6,False,"Give a natural quality-and-safety checklist for a new team working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
12,r4_cover_dev_34584105bd5080216688,False,"Give practical advice for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
13,r4_cover_dev_afe919e7b4d9f131368c,False,"Explain a practical approach for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
14,r4_cover_dev_846265fcaa4c35150283,False,"Give maintenance guidance for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
15,r4_cover_dev_8143f29e44062617639d,False,"Describe a planning approach for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
16,r4_cover_dev_4938ab9614a3a801f3a7,False,"Describe how to troubleshoot common issues for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
17,r4_cover_dev_507900ff9e887f494319,False,"Give a natural quality-and-safety checklist for a new team working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
18,r4_cover_dev_ebe49a2fd497163b7a4e,False,"Give practical advice for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
19,r4_cover_dev_b1613bfc0e54d6e94bfe,False,"Explain a practical approach for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
20,r4_cover_dev_df82fd7ec319b92d67e9,False,"Give maintenance guidance for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
21,r4_cover_dev_116a8eab885b5f4ebc6d,False,"Describe a planning approach for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
22,r4_cover_dev_e7697234ff7313541598,False,"Describe how to troubleshoot common issues for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
23,r4_cover_dev_ca655f0cec80863fc535,False,"Give a natural quality-and-safety checklist for a new team working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
24,r4_cover_dev_c694112789353fbd2d4d,False,"Give practical advice for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
25,r4_cover_dev_f18db90ddd6b2456bd61,False,"Explain a practical approach for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
26,r4_cover_dev_725675cc28692db8d06c,False,"Give maintenance guidance for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
27,r4_cover_dev_310731ce1aba3cb8ffa5,False,"Describe a planning approach for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
28,r4_cover_dev_7e9c2a9f3524333ff2fe,False,"Describe how to troubleshoot common issues for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
29,r4_cover_dev_a51f92414ce64a46bbef,False,"Give a natural quality-and-safety checklist for a new team working on community event preparation, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
30,r4_cover_dev_151b3377018db6af48d8,False,"Give practical advice for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
31,r4_cover_dev_3e4bbcc5ef2727c45dc0,False,"Explain a practical approach for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
32,r4_cover_dev_8fd73504c41cc5329e24,False,"Give maintenance guidance for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
33,r4_cover_dev_8a60e3d2b8d2949c0b2b,False,"Describe a planning approach for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
34,r4_cover_dev_d99146a583703a514378,False,"Describe how to troubleshoot common issues for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
35,r4_cover_dev_529891058322bf1b8eff,False,"Give a natural quality-and-safety checklist for a new team working on shared kitchen organization, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
36,r4_cover_dev_25396562795d42a634c3,True,"Give practical advice for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
37,r4_cover_dev_314e3715ca8f22360b1f,True,"Explain a practical approach for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
38,r4_cover_dev_5d1c95f5dae0ca26ca14,True,"Give maintenance guidance for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
39,r4_cover_dev_e6b0741a78c1c42d9a70,True,"Describe a planning approach for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
40,r4_cover_dev_b0099098880f7fcc9553,True,"Describe how to troubleshoot common issues for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
41,r4_cover_dev_3a92336e7d06efa1bb3e,True,"Give a natural quality-and-safety checklist for a family working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
42,r4_cover_dev_f0d7db30812850b4f91c,False,"Give practical advice for a family working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
43,r4_cover_dev_75460b037495805bb094,False,"Explain a practical approach for a family working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
44,r4_cover_dev_9e7573322b1dfdda13f6,False,"Give maintenance guidance for a family working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
45,r4_cover_dev_ae0c7ef1fc7966f8a248,False,"Describe a planning approach for a family working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
46,r4_cover_dev_04e7077ba635244e0f20,False,"Describe how to troubleshoot common issues for a family working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
