review_id,review_type,entry_id,blocker_id,artifact_group,source_path,source_sha256,source_bytes,source_row_count,planned_supplement_path,candidate_bundle_path,review_artifact_path,review_artifact_sha256,review_artifact_bytes,review_artifact_row_count,scope_note_type,public_label,allowed_interpretation,forbidden_claims,redaction_dropped_fields,redaction_private_marker_hits_after_redaction,security_field_name_hit_count,security_secret_value_hit_count,release_recommendation,required_evidence,reviewer_assertion_required,approval_status,claim_scope_guard
PSR-001,redaction_review,PSP-033,PSB-009,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,e9aaea586d2e019f0a0a85c2f73f43868f577416e4c927d8c9aa804f70e364be,243819,960,evidence/trace_bound_controllability_redacted/combined_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,35e0373d126df82b3f8024804435b1564b774f2245d292ee347329c7837c4938,427597,960,,,,,source_shard_dir,0,,,,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,pending_not_performed,provider-side trace-bound diagnostic summary only; not public text-only verification
PSR-002,redaction_review,PSP-034,PSB-010,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,51c5f39d1aa8910a7f109e8a4443d65e3a16b08d113c7c27ba04a8ae93cd3105,120894,480,evidence/trace_bound_controllability_redacted/qwen_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,53ab77ddba1b2f0e77e0972bd5d511465e9bc4190e03f93785945d9958a53681,203392,480,,,,,source_shard_dir,0,,,,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,pending_not_performed,provider-side trace-bound diagnostic summary only; not public text-only verification
PSR-003,redaction_review,PSP-035,PSB-011,trace_bound_corpus_summary,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/llama_blocks.csv,2a017df490422f42df115ae13312a27932d6bf04e303d1b9d36a2a3641f28d50,123284,480,evidence/trace_bound_controllability_redacted/llama_blocks.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability_redacted/llama_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,d02bd77465b3ddd37c11b9afea9800a762c4cc2f5940fe712cd609bccde4112c,224582,480,,,,,source_shard_dir,0,,,,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,approve redacted derivative; confirm private fields removed and trace-bound-only scope preserved,pending_not_performed,provider-side trace-bound diagnostic summary only; not public text-only verification
PSR-004,scope_note_review,PSP-036,PSB-012,trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,2c6da64f505f21d271210020c0abaa46d189d7c5cbcb5dd6923dbaec9ace6eae,2914,,evidence/trace_bound_controllability/corpus_manifest.json,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/trace_bound_controllability/corpus_manifest.json,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,trace_bound_scope_note,provider-side trace-bound diagnostic summary only,provider-side trace-bound diagnostic summary only; not public text-only verification,public text-only verification success; ownership proof; public final-text codeword recovery,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; public final-text codeword recovery
PSR-005,scope_note_review,PSP-041,PSB-017,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_curve.csv,fcf9babeeb9a109ef1c5895c6aa06757a919ad897a6ab1f9eb333000f4cede0e,14332,48,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSR-006,scope_note_review,PSP-042,PSB-018,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_transform_summary.csv,afe93deb1cfdfb66c1326730f959e49446d4ccf4457640879de00b665bd83cc7,2702,18,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSR-007,scope_note_review,PSP-043,PSB-019,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_examples.csv,e5e13d20aa816030e11324a57e9f78545dc083bdf752d60f88331e22c0d48ef0,75622,60,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSR-008,scope_note_review,PSP-044,PSB-020,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_summary.json,a322d0493f8b6daedf5dcd57230cf0b6a92d2e610a1a2a4b726d177142d8966e,8936,,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSR-009,scope_note_review,PSP-045,PSB-021,public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_report.md,936dccd48337f0badad5307ee25eeb4616606d1cfe7df06e8d041148e2703c4a,3147,,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSR-010,scope_note_review,PSP-050,PSB-022,stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_results.csv,447401ad936f1164daecbbdd2192f9c139088cc8d41649349f78e1dfa035d03b,4130,14,evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,results/verification_substrate_gap/public_supplement_candidate_20260601/evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,cea0848b33f227f580c4702db0a6f803ea553b9fcceaee7c3ad0165e11be7889,5337,10,local_non_claim_pilot_scope_note,local non-adopted/historical pilot only,local non-adopted/historical pilot only; not adopted locked evidence,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,,,,,,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,approve scope note; confirm artifact remains source-mismatch or non-claim evidence only,pending_not_performed,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim
