run_id,case_id,block_count,seed,payload,block_index,field_name,expected_bucket,decoded_bucket,expected_token,generated_token,slot_correct,bucket_correct,exact_token_correct,target_bucket_mass,target_token_probability,top_5_tokens,top_5_probs,margin_to_best_wrong_bucket,diagnostic_source
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z,B1_U00_s17,1,17,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z,B1_U00_s17,1,17,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z,B1_U03_s17,1,17,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z,B1_U03_s17,1,17,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z,B1_U12_s17,1,17,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z,B1_U12_s17,1,17,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z,B1_U15_s17,1,17,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z,B1_U15_s17,1,17,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z,B1_U00_s23,1,23,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z,B1_U00_s23,1,23,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
