case_id,payload,seed,query_budget,matched_budget_status,status,valid_completed,success,method_failure,pending,accepted,verifier_success,decoded_payload,exact_response_match_ratio,top_k_response_match_ratio,exact_response_match_count,top_k_response_match_count,threshold,expected_response_probability_mean,expected_response_probability_min,base_response_probability_mean,eval_compute_seconds,model_forward_count,contract_hash_status,baseline_contract_hash,failure_reason,case_root,eval_summary_path
perinucleus-official-q1-u00-s17,U00,17,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U00,1.0,1.0,1,1,1.0,0.9999862909317017,0.9999862909317017,0.015260609798133373,38.72457575798035,1,match,4510d67cecb594637ca9052ddde586f17930fe45bfa21550c540fc6c81478d4b,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s17/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s17__05f62b9__20260430T041316211313Z/eval_summary.json
perinucleus-official-q1-u03-s17,U03,17,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U03,1.0,1.0,1,1,1.0,0.9999791383743286,0.9999791383743286,0.058035094290971756,29.15621280670166,1,match,3ebae048220c9db6f4b9d33f0222b3d05073bac301770de00cde225b10fc2d7e,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s17/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s17__05f62b9__20260430T042140483074Z/eval_summary.json
perinucleus-official-q1-u12-s17,U12,17,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U12,1.0,1.0,1,1,1.0,0.9999948740005493,0.9999948740005493,0.0006049582152627409,29.241060972213745,1,match,2d502e93838b5631f90f7dfa27a224d538a1d063326b27a8f779ae9976625699,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s17/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s17__05f62b9__20260430T042140523859Z/eval_summary.json
perinucleus-official-q1-u15-s17,U15,17,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U15,1.0,1.0,1,1,1.0,0.9999895095825195,0.9999895095825195,0.017510557547211647,29.121357440948486,1,match,e6ec9bd250cb357466545e1c868cea645e232b28a32412044253b8c8d99d493e,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s17/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s17__05f62b9__20260430T042140556318Z/eval_summary.json
perinucleus-official-q1-u00-s23,U00,23,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U00,1.0,1.0,1,1,1.0,0.9999867677688599,0.9999867677688599,0.010864452458918095,29.121371746063232,1,match,ba2caca8d72f6d8cfbf54aa66e0baaa42d32fc5ce3424d5db019622020e86da9,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s23/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s23__05f62b9__20260430T042140583240Z/eval_summary.json
perinucleus-official-q1-u03-s23,U03,23,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U03,1.0,1.0,1,1,1.0,0.9999806880950928,0.9999806880950928,0.054247066378593445,29.138068675994873,1,match,c2cda0a52217c5e8e2d7ffb1218746bf59bbffedd071b1188d97d728be80b690,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s23/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s23__05f62b9__20260430T042140611714Z/eval_summary.json
perinucleus-official-q1-u12-s23,U12,23,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U12,1.0,1.0,1,1,1.0,0.9999839067459106,0.9999839067459106,0.03592343255877495,29.121613264083862,1,match,33dd17f0beb84cec86db26db1d8504e517377e75b55ebfd187498cae04070d45,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U12_s23/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s23__05f62b9__20260430T042140639673Z/eval_summary.json
perinucleus-official-q1-u15-s23,U15,23,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U15,1.0,1.0,1,1,1.0,0.9999955892562866,0.9999955892562866,0.0611678808927536,30.01978063583374,1,match,053dd2d35ae5220b9c61dfada4547cf55a777e837afc5b9875a98d34d5f0ae1d,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U15_s23/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s23__05f62b9__20260430T042140666523Z/eval_summary.json
perinucleus-official-q1-u00-s29,U00,29,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U00,1.0,1.0,1,1,1.0,0.9999920129776001,0.9999920129776001,0.001699973363429308,29.735149145126343,1,match,e81fa95bdba04b7c6316c2e5d014ab40f42c349a6e2c025ecff358024affe998,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U00_s29/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s29__05f62b9__20260430T042140694222Z/eval_summary.json
perinucleus-official-q1-u03-s29,U03,29,1,under_budget_diagnostic,completed,True,True,False,False,True,True,U03,1.0,1.0,1,1,1.0,0.9999774694442749,0.9999774694442749,0.027677524834871292,29.93049192428589,1,match,b1250a100c80fd08635d7e1e2471f731080811bceb2a20eee00994bb32a34558,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_official_qwen/final/q1/U03_s29/runs/perinucleus_official_qwen_final/perinucleus_official_qwen_final__baseline_perinucleus_official__qwen2.5-7b-instruct__s29__05f62b9__20260430T042140720170Z/eval_summary.json
