figure_id,scenario_id,scenario_title,method_family,evidence_substrate,current_assessment,substrate_available,current_evidence,primary_blocker,claim_scope,next_experiment
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,statistical_watermark,final_text_statistical_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,signed_metadata,metadata_signature,UNTESTED_NEEDS_SIGNATURE_PROTOCOL,yes,"current trace binding is hash/consistency binding, not HMAC/signed provenance",metadata signing and chain-of-custody not implemented in current artifacts,scenario stress test only; no paper-facing positive claim,design signed metadata or HMAC trace-binding route
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,FAILS_NO_API_OR_MODEL_ACCESS,no,no suspect-model query substrate,cannot test model behavior from copied text alone,scenario stress test only; no paper-facing positive claim,none for copied final text
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,provider_side_trace,provider_generation_log,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,first_divergence_diagnostic,tokenizer_native_provider_trace_event,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S1_cooperative_provider_with_signed_metadata,Cooperative provider with signed metadata,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_PUBLIC_PREDICATE_SPOOFABLE,yes,public final-text codeword recovered blocks total = 0,public predicate does not recover codeword and is searchable/rewriteable,scenario stress test only; no paper-facing positive claim,distillation-lite spoofing only if stronger public-predicate attack is needed
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,statistical_watermark,final_text_statistical_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
