artifact_group,release_role,path,exists,tracked_by_git,git_tracking_scope,bytes,sha256,release_status,requires_anonymization_review,private_path_hit,secret_term_hit,notes
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/main.tex,True,True,manuscript_git,2910,1f59d67aca4269850de37b233c7657e60c8c9974136dc90b5f9cb4986b7efd03,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,True,True,manuscript_git,6110,b44ccfc3fc2d9fb67ca654c17c7610c7f5b2500ac1118cb2b56725c97309dd76,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,True,True,manuscript_git,6769,ac60fa8f0af361ad7eed995377ad075d6d97f7c01b157f79fa386f0efb6a2588,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,True,True,manuscript_git,5880,6c904267eba68ba9c4003d1b35dd925fc363b9123153f971b77e7f94acd8692a,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,True,True,manuscript_git,5302,13eab833686254997a581d2b7338a9c982964c18d14524e1e152082e89f2fed2,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,True,True,manuscript_git,4581,e5ed126440f9e13b470bc3b9bf50e3735d1555768d1881d3b5e0861fc4191682,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,True,True,manuscript_git,2817,3727263bc453428c9ec7953f08f0e5c67c449c778d3f7519a184ffce9f37dd74,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,True,True,manuscript_git,7439,1b618fc3821847ef904655c0375b05d80a07bd7f4bbeb97d8ed8f29e2a651ea0,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,True,True,manuscript_git,4904,913839783fd6957b196d2f00c69c03def4a3782e0d6e85e9812b54684465dfeb,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,True,True,manuscript_git,1273,7d95943f193f2e9e1f50fceb794945d522e3ad971a965df1c97d9d7e5eabb4ca,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/proofs.tex,True,True,manuscript_git,1246,95271362a5e71d16ff763e3e3aed519b653dd60f9ad07e40f8fa0e11fe5c3f78,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/formal_substrate_gap.tex,True,True,manuscript_git,3375,d16746bb9acffcddeb919791bef19c68fd7ec351eaa8291253bb7335478469b0,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/attack_examples.tex,True,True,manuscript_git,2811,bf6d7a83a868f56635c02dd971e6dc3db6715f494fec6564b9c77a59684997a2,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/extended_related_work.tex,True,True,manuscript_git,8343,6941367bcec3927f957acd2a945c5719f36a978adee0cd7a8793814392eff6d0,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility.tex,True,True,manuscript_git,2726,8bc273a0331e05bacb373783387ed96ad1bb3aa9e879bae159838af1ce70e946,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/asset_licenses.tex,True,True,manuscript_git,1843,55d3bad01aceaf41b500c8cd5e0e2c3613404e87d935b3bc3a3b84192d427e8a,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility_commands.tex,True,True,manuscript_git,2772,4107b22a41667b9d0ce02807804b152c8e838ab74200923d6c1a2ac91f5ac9d6,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/references.bib,True,True,manuscript_git,29813,e80193f704e98ccd4402d8c0ca5cd0a37cbc44e4554d8bb395b5ee2c87d81577,release_candidate,False,False,False,
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/neurips_2026.sty,True,True,manuscript_git,13462,0c1ad36961fcd9198dcc2558cf2793e1df39973bde8264fd701f5e7970672757,release_candidate,False,False,False,
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_1_verification_substrate_map.png,True,True,manuscript_git,87773,aade301bf06c8b841fd4d1cdc31ab05083c84f82b203d656db35be5bf187fcfe,release_candidate,False,False,False,
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_2_first_divergence_diagnostic.png,True,True,manuscript_git,93083,c3237dc5823c39bb96d2d804d9cd8db16bbe27ee6305b9d47cdba1aebb926011,release_candidate,False,False,False,
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_3_controllability_vs_observability.png,True,True,manuscript_git,108413,826200904d3f4edc3dbf9d3d6f2a4dc0e48e56aaec198ce89aadc44527342db9,release_candidate,False,False,False,
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_4_public_predicate_attack_ladder.png,True,True,manuscript_git,89021,038db68a07513b0c9bc51f2db1bab306f46f06c7237f0f98a70b382417d5fa2b,release_candidate,False,False,False,
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_5_ownership_scenario_heatmap.png,True,True,manuscript_git,93624,be170f04151b4523309b49d14b8419905046fe57bbbd7e9cc4d3720f9464b723,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/trace_bound_accepts.csv,True,False,untracked,528,652719d8838e5602b2a6aec217a35ed6e2021e5cfe2d4e12987948561b9362ad,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/public_text_verifier_baselines.csv,True,False,untracked,3051,69bbf5497154a3247948bff0f12d0a2f49f4824b4b8715e0774008308c30065d,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/template_leakage_summary.csv,True,False,untracked,582,4b2b8647896ba452d4846df2220f4e9a7128523f92e069a6ca325db0170514a8,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/attack_ladder_summary.csv,True,False,untracked,7560,b1774c7f683ada8f4735c2134c9054fa96c9a68aca160922abfa2afbd5a2da99,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/ownership_scenario_heatmap.csv,True,False,untracked,27420,4b628519e2b8ef1eaaea471978cda15f98879d274020334b324ea9e087b69f77,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/claim_ledger.csv,True,False,untracked,1423,d7e2902360276c570ba65892d4b7db222cd456ee7fecca992bc6b4317b231ad9,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_summary.json,True,False,untracked,3836,adff4ae4c8832dcc3634053789f925191a4c55cb66155335ba36ab07364ae878,release_candidate,False,False,False,
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_manifest.json,True,False,untracked,3510,e852ac823131ac2e4f607397eb23acff46a182cf2e6f76c9ab5e76b3ec944e77,release_candidate,False,False,False,
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,True,False,untracked,427597,35e0373d126df82b3f8024804435b1564b774f2245d292ee347329c7837c4938,needs_anonymization_review,True,True,False,Summary rows can contain source path fields; scrub private paths before public release.
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,True,False,untracked,203392,53ab77ddba1b2f0e77e0972bd5d511465e9bc4190e03f93785945d9958a53681,needs_anonymization_review,True,True,False,Summary rows can contain source path fields; scrub private paths before public release.
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,True,False,untracked,224582,d02bd77465b3ddd37c11b9afea9800a762c4cc2f5940fe712cd609bccde4112c,needs_anonymization_review,True,True,False,Summary rows can contain source path fields; scrub private paths before public release.
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,True,False,untracked,2914,2c6da64f505f21d271210020c0abaa46d189d7c5cbcb5dd6923dbaec9ace6eae,needs_anonymization_review,True,False,False,Summary rows can contain source path fields; scrub private paths before public release.
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_results.csv,True,False,untracked,2536,338643559be5c2727ef20a8358b43e75c2c2ac4bc2fb6887980da4de623661e1,release_candidate,False,False,False,
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_block_scores.csv,True,False,untracked,183572,1428a4bfe5b71709bf0852738dc30bd8e7fa5a780d8ccba8ae714ab1ae28d0ad,release_candidate,False,False,False,
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_summary.json,True,False,untracked,4063,aac44b890822b893de4961e14b86de3a689a9ef19a4a40627dd567082de84fcb,release_candidate,False,False,False,
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_report.md,True,False,untracked,1776,7764ab1010144441d7840dde88da2df322af1f80a1ccbe87da94555bded24e4a,release_candidate,False,False,False,
public_predicate_attack_ladder,source_mismatch_attack_summary,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_curve.csv,True,False,untracked,14332,fcf9babeeb9a109ef1c5895c6aa06757a919ad897a6ab1f9eb333000f4cede0e,release_candidate_with_caveat,True,False,False,Examples are source-mismatch spoofing rows; not protected success.
public_predicate_attack_ladder,source_mismatch_attack_summary,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_transform_summary.csv,True,False,untracked,2702,afe93deb1cfdfb66c1326730f959e49446d4ccf4457640879de00b665bd83cc7,release_candidate_with_caveat,True,False,False,Examples are source-mismatch spoofing rows; not protected success.
public_predicate_attack_ladder,source_mismatch_attack_summary,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_examples.csv,True,False,untracked,75622,e5e13d20aa816030e11324a57e9f78545dc083bdf752d60f88331e22c0d48ef0,release_candidate_with_caveat,True,False,False,Examples are source-mismatch spoofing rows; not protected success.
public_predicate_attack_ladder,source_mismatch_attack_summary,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_summary.json,True,False,untracked,8936,a322d0493f8b6daedf5dcd57230cf0b6a92d2e610a1a2a4b726d177142d8966e,release_candidate_with_caveat,True,False,False,Examples are source-mismatch spoofing rows; not protected success.
public_predicate_attack_ladder,source_mismatch_attack_summary,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_report.md,True,False,untracked,3147,936dccd48337f0badad5307ee25eeb4616606d1cfe7df06e8d041148e2703c4a,release_candidate_with_caveat,True,False,False,Examples are source-mismatch spoofing rows; not protected success.
attack_naturalness_proxy_audit,readability_proxy_summary,results/verification_substrate_gap/public_predicate_attack_naturalness_audit_20260601/attack_naturalness_proxy_rows.csv,True,True,root_git,24483,ac24d6063bf84062a7171c9268881328cd2b331b31435c948996acc6f3392534,release_candidate,False,False,False,
attack_naturalness_proxy_audit,readability_proxy_summary,results/verification_substrate_gap/public_predicate_attack_naturalness_audit_20260601/attack_naturalness_proxy_by_group.csv,True,True,root_git,449,b6a7e74bc8b827ac926fc52934f8b4d6046fab1dd9e40b7eb8b690a431375504,release_candidate,False,False,False,
attack_naturalness_proxy_audit,readability_proxy_summary,results/verification_substrate_gap/public_predicate_attack_naturalness_audit_20260601/attack_naturalness_proxy_summary.json,True,True,root_git,1199,bd051b53cf4fed617f866316da5dfa5db6f1d101393893fffe4ec6180845069b,release_candidate,False,False,False,
attack_naturalness_proxy_audit,readability_proxy_summary,results/verification_substrate_gap/public_predicate_attack_naturalness_audit_20260601/attack_naturalness_proxy_report.md,True,True,root_git,1279,394411ea1424c2e7217635ff0963c0517cd75b5672c6417fdaa6d0246aac2ee4,release_candidate,False,False,False,
stronger_public_predicate_local_pilot,local_non_claim_pilot_summary,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_results.csv,True,True,root_git,4130,447401ad936f1164daecbbdd2192f9c139088cc8d41649349f78e1dfa035d03b,release_candidate_with_scope_note,True,False,False,Local pilot only; not adopted locked evidence.
stronger_public_predicate_local_pilot,local_non_claim_pilot_summary,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_block_scores.csv,True,True,root_git,62118,7c475543f2b1a3a3c3646dd3e7ea9340367f0a419a69ce657b1116822cadc297,release_candidate_with_scope_note,True,False,False,Local pilot only; not adopted locked evidence.
stronger_public_predicate_local_pilot,local_non_claim_pilot_summary,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_summary.json,True,True,root_git,8928,1f0faea341defd8509e36d9597883ce5b6253f9ed439807a04e87823846cc1e0,release_candidate_with_scope_note,True,False,False,Local pilot only; not adopted locked evidence.
stronger_public_predicate_local_pilot,local_non_claim_pilot_summary,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_report.md,True,True,root_git,2678,6cafeb929bac19cb63939a6d6a999a16c3bf0a33afac2e5247aef63a4eb95a60,release_candidate_with_scope_note,True,False,False,Local pilot only; not adopted locked evidence.
substrate_matrix,taxonomy_summary,results/verification_substrate_gap/substrate_gap_matrix/substrate_gap_matrix.csv,True,False,untracked,1758,b2a341fadc5a9429d06a7b331582e64cbeabdd3be26d4665411a9f68c5add406,release_candidate,False,False,False,
