shard_index,source_shard_dir,block_id,arm,source_condition,accept,accept_ignoring_quality,complete_pairs,required_pairs,decoded_bits,expected_bits,bits_match_condition,checksum_valid,forbidden_public_surface_count,duplicate_response_hash_count
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,raw,raw,False,False,6,8,01-001-1,10100101,False,False,0,0
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00,shard_00_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_00,raw,raw,False,False,7,8,01-00111,10100101,False,False,0,0
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
1,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01,shard_01_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_00,raw,raw,False,False,8,8,01100111,10100101,False,False,0,0
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
2,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02,shard_02_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_00,raw,raw,False,False,7,8,01-00111,10100101,False,False,0,0
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
3,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03,shard_03_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_00,raw,raw,False,False,5,8,01-0-1-1,10100101,False,False,0,0
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
4,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04,shard_04_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
