surface_id,surface_family,canonical_phrase,first_word,protected_exact_hits,raw_exact_hits,task_only_exact_hits,protected_loose_stem_hits,raw_loose_stem_hits,task_only_loose_stem_hits
r4pe_clarify_00,clarify,ask a focused question,ask,0,0,0,0,0,0
r4pe_clarify_01,clarify,confirm the main constraint,confirm,0,0,0,0,0,0
r4pe_clarify_02,clarify,check the important details,check,0,0,0,0,0,0
r4pe_clarify_03,clarify,review the current notes,review,0,0,0,0,0,0
r4pe_clarify_04,clarify,compare the available options,compare,0,0,0,0,0,0
r4pe_clarify_05,clarify,identify the likely risk,identify,0,0,0,0,0,0
r4pe_clarify_06,clarify,write down the open issue,write,0,0,0,0,0,0
r4pe_clarify_07,clarify,summarize the main tradeoff,summarize,0,0,0,0,0,0
r4pe_clarify_08,clarify,verify the shared goal,verify,0,0,0,0,0,0
r4pe_clarify_09,clarify,collect the missing context,collect,0,0,0,0,0,0
r4pe_clarify_10,clarify,name the first concern,name,0,0,0,0,0,0
r4pe_clarify_11,clarify,look for common mistakes,look,0,0,0,0,0,0
r4pe_plan_00,plan,make a short plan,make,0,0,0,0,0,0
r4pe_plan_01,plan,choose a clear priority,choose,0,0,0,0,0,0
r4pe_plan_02,plan,set a realistic target,set,0,0,0,0,0,0
r4pe_plan_03,plan,prepare a simple outline,prepare,0,0,0,0,0,0
r4pe_plan_04,plan,map the required handoff,map,0,0,0,0,0,0
r4pe_plan_05,plan,schedule a brief review,schedule,0,0,0,0,0,0
r4pe_plan_06,plan,define the next milestone,define,0,0,0,0,0,0
r4pe_plan_07,plan,keep the scope narrow,keep,0,0,0,0,0,0
r4pe_plan_08,plan,split the work carefully,split,0,0,0,0,0,0
r4pe_plan_09,plan,reserve time for review,reserve,0,0,0,0,0,0
r4pe_plan_10,plan,start with the simplest case,start,0,0,0,0,0,0
r4pe_plan_11,plan,leave room for adjustment,leave,0,0,0,0,0,0
r4pe_communicate_00,communicate,share a concise update,share,0,0,0,0,0,0
r4pe_communicate_01,communicate,use a calm tone,use,0,0,0,0,0,0
r4pe_communicate_02,communicate,explain the reason clearly,explain,0,0,0,0,0,0
r4pe_communicate_03,communicate,invite a quick response,invite,0,0,0,0,0,0
r4pe_communicate_04,communicate,keep the message brief,keep,0,0,0,0,0,0
r4pe_communicate_05,communicate,confirm who owns the task,confirm,0,0,0,0,0,0
r4pe_communicate_06,communicate,mention the expected timing,mention,0,0,0,0,0,0
r4pe_communicate_07,communicate,avoid unnecessary detail,avoid,0,0,0,1,0,0
r4pe_communicate_08,communicate,state the decision plainly,state,0,0,0,0,0,0
r4pe_communicate_09,communicate,ask for one concrete reply,ask,0,0,0,0,0,0
r4pe_communicate_10,communicate,document the agreed change,document,0,0,0,0,0,0
r4pe_communicate_11,communicate,flag the remaining uncertainty,flag,0,0,0,0,0,0
r4pe_quality_00,quality,test the simple path,test,0,0,0,0,0,0
r4pe_quality_01,quality,review the final wording,review,0,0,0,0,0,0
r4pe_quality_02,quality,check for missing details,check,0,0,0,0,0,0
r4pe_quality_03,quality,compare against the goal,compare,0,0,0,0,0,0
r4pe_quality_04,quality,look for edge cases,look,0,0,0,0,0,0
r4pe_quality_05,quality,verify the basic assumption,verify,0,0,0,0,0,0
r4pe_quality_06,quality,inspect the recent change,inspect,0,0,0,0,0,0
r4pe_quality_07,quality,confirm the outcome,confirm,0,0,0,0,0,0
r4pe_quality_08,quality,measure the visible impact,measure,0,0,0,0,0,0
r4pe_quality_09,quality,review the handoff notes,review,0,0,0,0,0,0
