artifact_group,release_role,path,exists,tracked_by_git,release_status,requires_anonymization_review,private_path_hit,secret_term_hit,boundary_decision,public_supplement_action,pre_release_review_required,release_blocker,reason
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/main.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/proofs.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/formal_substrate_gap.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/attack_examples.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/extended_related_work.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/asset_licenses.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/appendix/reproducibility_commands.tex,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/references.bib,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_source,submission_source,manuscripts/69db2644566dcc36c9da320e/neurips_2026.sty,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_1_verification_substrate_map.png,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_2_first_divergence_diagnostic.png,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_3_controllability_vs_observability.png,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_4_public_predicate_attack_ladder.png,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
manuscript_figures,rendered_figure,manuscripts/69db2644566dcc36c9da320e/figures/figure_5_ownership_scenario_heatmap.png,True,True,release_candidate,False,False,False,ready_for_reviewed_public_supplement,include_after_final_license_and_scope_review,False,False,"file is present, tracked, and has no inventory privacy/security flags"
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/trace_bound_accepts.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/public_text_verifier_baselines.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/template_leakage_summary.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/attack_ladder_summary.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/ownership_scenario_heatmap.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/claim_ledger.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_summary.json,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
figure_data,plot_input_or_claim_table,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_manifest.json,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,True,False,needs_anonymization_review,True,True,False,redact_or_summarize_before_release,scrub_private_paths_or_release_a_derived_summary,True,True,file contains private local or cluster path markers
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,True,False,needs_anonymization_review,True,True,False,redact_or_summarize_before_release,scrub_private_paths_or_release_a_derived_summary,True,True,file contains private local or cluster path markers
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,True,False,needs_anonymization_review,True,True,False,redact_or_summarize_before_release,scrub_private_paths_or_release_a_derived_summary,True,True,file contains private local or cluster path markers
trace_bound_corpus_summary,summary_only_not_raw_trace,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,True,False,needs_anonymization_review,True,False,False,scope_review_before_release,confirm anonymization_scope_or_replace_with_derived_summary,True,True,inventory marks this row as requiring anonymization or scope review
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_results.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_block_scores.csv,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_summary.json,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
public_text_verifier_baselines,predicate_summary,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_report.md,True,False,release_candidate,False,False,False,stage_or_copy_to_supplement_before_release,commit_file_or_copy_into_a_reviewed_supplement_bundle,True,True,file exists but is not tracked by the selected git scopes
