blocker_id,resolution_track,artifact_group,bundle_action,bundle_source_path,planned_supplement_path,review_artifact_path,source_exists,source_sha256,review_artifact_exists,required_evidence_before_resolution,resolution_gate,claim_scope_guard
PSB-001,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/trace_bound_accepts.csv,evidence/figure_data/trace_bound_accepts.csv,,True,652719d8838e5602b2a6aec217a35ed6e2021e5cfe2d4e12987948561b9362ad,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-002,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/public_text_verifier_baselines.csv,evidence/figure_data/public_text_verifier_baselines.csv,,True,69bbf5497154a3247948bff0f12d0a2f49f4824b4b8715e0774008308c30065d,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-003,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/template_leakage_summary.csv,evidence/figure_data/template_leakage_summary.csv,,True,4b2b8647896ba452d4846df2220f4e9a7128523f92e069a6ca325db0170514a8,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-004,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/attack_ladder_summary.csv,evidence/figure_data/attack_ladder_summary.csv,,True,b1774c7f683ada8f4735c2134c9054fa96c9a68aca160922abfa2afbd5a2da99,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-005,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/ownership_scenario_heatmap.csv,evidence/figure_data/ownership_scenario_heatmap.csv,,True,4b628519e2b8ef1eaaea471978cda15f98879d274020334b324ea9e087b69f77,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-006,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/claim_ledger.csv,evidence/figure_data/claim_ledger.csv,,True,d7e2902360276c570ba65892d4b7db222cd456ee7fecca992bc6b4317b231ad9,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-007,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_summary.json,evidence/figure_data/figure_data_summary.json,,True,adff4ae4c8832dcc3634053789f925191a4c55cb66155335ba36ab07364ae878,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-008,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_manifest.json,evidence/figure_data/figure_data_manifest.json,,True,e852ac823131ac2e4f607397eb23acff46a182cf2e6f76c9ab5e76b3ec944e77,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-009,human_review_required,trace_bound_corpus_summary,use_redacted_derivative_after_human_review,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,evidence/trace_bound_controllability_redacted/combined_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,True,e9aaea586d2e019f0a0a85c2f73f43868f577416e4c927d8c9aa804f70e364be,True,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,not_resolved_artifact_only_checklist,provider-side trace-bound diagnostic summary only; not public text-only verification
PSB-010,human_review_required,trace_bound_corpus_summary,use_redacted_derivative_after_human_review,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,evidence/trace_bound_controllability_redacted/qwen_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,True,51c5f39d1aa8910a7f109e8a4443d65e3a16b08d113c7c27ba04a8ae93cd3105,True,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,not_resolved_artifact_only_checklist,provider-side trace-bound diagnostic summary only; not public text-only verification
