entry_id,preflight_class,blocker_id,artifact_group,bundle_action,bundle_source_path,source_sha256,planned_supplement_path,candidate_bundle_path,review_artifact_path,source_exists,review_artifact_exists,future_copy_plan_entry,human_review_hold,excluded_from_bundle,publication_blocker,required_pre_copy_evidence,claim_scope_guard
PSP-001,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/main.tex,1f59d67aca4269850de37b233c7657e60c8c9974136dc90b5f9cb4986b7efd03,manuscript_source/main.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/main.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-002,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,7bae9397e1ec77f3eb57b91583e724747dd6539116275ca231496658194df99c,manuscript_source/section_01_introduction.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_01_introduction.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-003,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,db986efdf6e6356a7ef9c4c9068b719a9d5d99795de3ad2953cf2163c8a5bccf,manuscript_source/section_02_related_work.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_02_related_work.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-004,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,5df4ae73fd0847f62287c77aa978ade587b678e9e2a4a33312e5dce9dce98e13,manuscript_source/section_03_problem_setup.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_03_problem_setup.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-005,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,13eab833686254997a581d2b7338a9c982964c18d14524e1e152082e89f2fed2,manuscript_source/section_04_tokenizer_alignment.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_04_tokenizer_alignment.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-006,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,d5b4cabd86e77d922edd18c8208413a08aa78faa300d79858e5ea7193169419e,manuscript_source/section_05_bucket_level_injection.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_05_bucket_level_injection.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-007,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,3727263bc453428c9ec7953f08f0e5c67c449c778d3f7519a184ffce9f37dd74,manuscript_source/section_06_deterministic_verification.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_06_deterministic_verification.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-008,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,1b618fc3821847ef904655c0375b05d80a07bd7f4bbeb97d8ed8f29e2a651ea0,manuscript_source/section_07_experiments.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_07_experiments.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-009,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,d1c211c2e12b0323198d204cc62db6e38dfddf9d412114c295d2757e59601e9e,manuscript_source/section_08_discussion_limitations.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_08_discussion_limitations.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
PSP-010,direct_include_final_scope_check,,manuscript_source,direct_include_after_final_license_scope_review,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,7d95943f193f2e9e1f50fceb794945d522e3ad971a965df1c97d9d7e5eabb4ca,manuscript_source/section_09_conclusion.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_09_conclusion.tex,,True,False,True,False,False,False,final license and scope check before future bundle copy,preserves VSG substrate-gap claim boundary
