figure_id,attack_family,source_id,model_family,candidate_arm,budget_label,candidate_count,accepted_count,accept_rate,new_accept_count,enrichment_vs_deterministic,public_predicate_query_cost,primary_transform_or_ranking,claim_scope
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,raw,100,100,14,0.14,,,100,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,raw,1000,1000,211,0.211,,,1000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,raw,10000,10000,1938,0.1938,,,10000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,raw,100000,19312,3736,0.19345484672742336,,,19312,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,task_only,100,100,20,0.2,,,100,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,task_only,1000,1000,173,0.173,,,1000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,task_only,10000,10000,1935,0.1935,,,10000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,qwen_locked_adopted_870210_plus_870987,qwen,task_only,100000,19312,3767,0.19506006628003314,,,19312,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,llama_locked_adopted_880121,llama,raw,100,100,5,0.05,,,100,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,llama_locked_adopted_880121,llama,raw,1000,1000,38,0.038,,,1000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
