case_id,variant_id,block_count,seed,payload,slot_index,block_index,field_name,expected_bucket,decoded_bucket,expected_token,generated_token,slot_correct,bucket_correct,exact_token_correct
B1_U00_s17,B1,1,17,U00,0,0,SECTION,0,0,news,news,True,True,True
B1_U00_s17,B1,1,17,U00,1,0,TOPIC,0,0,market,market,True,True,True
B1_U03_s17,B1,1,17,U03,0,0,SECTION,0,0,news,news,True,True,True
B1_U03_s17,B1,1,17,U03,1,0,TOPIC,3,3,science,science,True,True,True
B1_U12_s17,B1,1,17,U12,0,0,SECTION,3,3,update,update,True,True,True
B1_U12_s17,B1,1,17,U12,1,0,TOPIC,0,0,market,market,True,True,True
B1_U15_s17,B1,1,17,U15,0,0,SECTION,3,3,update,update,True,True,True
B1_U15_s17,B1,1,17,U15,1,0,TOPIC,3,3,science,science,True,True,True
B1_U00_s23,B1,1,23,U00,0,0,SECTION,0,0,news,news,True,True,True
B1_U00_s23,B1,1,23,U00,1,0,TOPIC,0,0,market,market,True,True,True
B1_U03_s23,B1,1,23,U03,0,0,SECTION,0,0,news,news,True,True,True
B1_U03_s23,B1,1,23,U03,1,0,TOPIC,3,0,science,market,False,False,False
B1_U12_s23,B1,1,23,U12,0,0,SECTION,3,0,update,news,False,False,False
B1_U12_s23,B1,1,23,U12,1,0,TOPIC,0,0,market,market,True,True,True
B1_U15_s23,B1,1,23,U15,0,0,SECTION,3,0,update,news,False,False,False
B1_U15_s23,B1,1,23,U15,1,0,TOPIC,3,0,science,market,False,False,False
B1_U00_s29,B1,1,29,U00,0,0,SECTION,0,0,news,news,True,True,True
B1_U00_s29,B1,1,29,U00,1,0,TOPIC,0,0,market,market,True,True,True
B1_U03_s29,B1,1,29,U03,0,0,SECTION,0,0,news,news,True,True,True
B1_U03_s29,B1,1,29,U03,1,0,TOPIC,3,3,science,science,True,True,True
B1_U12_s29,B1,1,29,U12,0,0,SECTION,3,3,update,update,True,True,True
B1_U12_s29,B1,1,29,U12,1,0,TOPIC,0,0,market,market,True,True,True
B1_U15_s29,B1,1,29,U15,0,0,SECTION,3,3,update,update,True,True,True
B1_U15_s29,B1,1,29,U15,1,0,TOPIC,3,3,science,science,True,True,True
B2_U00_s17,B2,2,17,U00,0,0,SECTION,0,0,news,news,True,True,True
B2_U00_s17,B2,2,17,U00,1,0,TOPIC,0,0,market,market,True,True,True
B2_U00_s17,B2,2,17,U00,2,1,SECTION,3,3,update,update,True,True,True
B2_U00_s17,B2,2,17,U00,3,1,TOPIC,3,3,science,science,True,True,True
B2_U03_s17,B2,2,17,U03,0,0,SECTION,0,0,news,news,True,True,True
B2_U03_s17,B2,2,17,U03,1,0,TOPIC,3,3,science,science,True,True,True
B2_U03_s17,B2,2,17,U03,2,1,SECTION,3,3,update,update,True,True,True
B2_U03_s17,B2,2,17,U03,3,1,TOPIC,0,0,market,market,True,True,True
B2_U12_s17,B2,2,17,U12,0,0,SECTION,3,3,update,update,True,True,True
B2_U12_s17,B2,2,17,U12,1,0,TOPIC,0,0,market,market,True,True,True
B2_U12_s17,B2,2,17,U12,2,1,SECTION,0,0,news,news,True,True,True
B2_U12_s17,B2,2,17,U12,3,1,TOPIC,3,3,science,science,True,True,True
B2_U15_s17,B2,2,17,U15,0,0,SECTION,3,3,update,update,True,True,True
B2_U15_s17,B2,2,17,U15,1,0,TOPIC,3,3,science,science,True,True,True
B2_U15_s17,B2,2,17,U15,2,1,SECTION,0,0,news,news,True,True,True
B2_U15_s17,B2,2,17,U15,3,1,TOPIC,0,0,market,market,True,True,True
B2_U00_s23,B2,2,23,U00,0,0,SECTION,0,0,news,news,True,True,True
