source_id,model_family,variant_id,regime_id,status,train_rows,test_rows,auc,threshold,protected_row_tpr,raw_row_fpr,task_only_row_fpr,protected_detected_blocks,raw_detected_blocks,task_only_detected_blocks,codeword_recovered_blocks,codeword_recovery_supported,spoofing_target,claim_scope
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,V0,ALWAYS_REJECT_BASELINE_NOT_CODEWORD_VERIFIER,0,9000,0.5,1.0,0.0,0.0,0.0,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.4985,1.0,0.044,0.047,0.04133333333333333,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.555929,3.247500497708791,0.3233333333333333,0.23866666666666667,0.246,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.563553,27.07144234277031,0.108,0.05366666666666667,0.04033333333333333,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.559891,-1.956196911736443,0.619,0.556,0.556,16,13,12,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P6_hybrid_char_word_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.575391,13.759073051114822,0.19766666666666666,0.09166666666666666,0.08433333333333333,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
qwen_dev_869348_local_text_probe,qwen,P3_strongest_text_only_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,9000,0.559891,-1.956196911736443,0.619,0.556,0.556,16,13,12,0,False,True,selected_public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,V0_always_reject_final_text_only,V0,ALWAYS_REJECT_BASELINE_NOT_CODEWORD_VERIFIER,0,6000,0.5,1.0,0.0,0.0,,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P0_prefix_template_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.506167,1.0,0.026333333333333334,0.014,,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P2_learned_shallow_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.605447,4.711180882626125,0.386,0.23833333333333334,,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P4_char_ngram_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.628427,39.45272055137629,0.16333333333333333,0.05533333333333333,,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P5_word_trigram_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.624365,-0.14835006442251242,0.62,0.439,,15,1,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P6_hybrid_char_word_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.64459,23.992648367049615,0.25233333333333335,0.07966666666666666,,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
llama_historical_879555_local_text_probe,llama,P3_strongest_text_only_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,12000,6000,0.624365,-0.14835006442251242,0.62,0.439,,15,1,0,0,False,True,selected_public_text_predicate_observability_only_not_codeword_recovery
