shard_id,condition,coordinate_id,zero_votes,one_votes,ambiguous_votes,support,top_first_words
shard_00,protected,6,0,7,0,7,ensure:22;start:19;focus:5;clearly:5;choose:3
shard_00,protected,22,0,15,0,15,ensure:21;start:12;focus:7;outline:7;prioritize:6
shard_00,protected,26,10,0,0,10,ensure:20;start:18;map:9;focus:8;clearly:3
shard_00,protected,1,0,16,0,16,ensure:20;organize:15;start:9;focus:6;clearly:4
shard_00,protected,17,0,8,0,8,ensure:18;start:18;focus:8;schedule:8;clearly:4
shard_00,protected,19,21,0,0,21,ensure:18;start:11;review:7;check:7;map:7
shard_00,protected,15,11,0,0,11,ensure:16;start:14;organize:7;clearly:7;focus:6
shard_00,protected,31,14,0,0,14,ensure:23;start:11;prioritize:10;focus:7;clearly:7
shard_00,protected,8,0,16,0,16,start:20;ensure:14;review:11;map:5;clearly:5
shard_00,protected,4,15,0,0,15,ensure:21;start:10;focus:8;organize:8;outline:7
shard_00,protected,7,0,18,0,18,start:17;ensure:11;review:10;focus:8;check:7
shard_00,protected,23,0,18,0,18,ensure:20;organize:16;start:8;focus:6;clearly:4
shard_00,raw,6,0,0,0,0,ensure:23;start:20;focus:6;clearly:6;consider:2
shard_00,raw,22,0,0,0,0,ensure:25;start:16;focus:9;clearly:6;avoid:2
shard_00,raw,26,1,0,0,1,ensure:24;start:20;focus:9;clearly:3;always:2
shard_00,raw,1,0,0,0,0,ensure:22;start:18;focus:7;create:5;clearly:4
shard_00,raw,17,0,0,0,0,ensure:21;start:18;focus:8;clearly:6;first:2
shard_00,raw,19,0,0,0,0,ensure:28;start:16;clearly:5;focus:4;set:3
shard_00,raw,15,0,0,0,0,ensure:18;start:15;focus:8;clearly:8;first:3
shard_00,raw,31,0,0,0,0,ensure:29;start:16;focus:8;clearly:7;plan:1
shard_00,raw,8,0,0,0,0,ensure:23;start:20;focus:6;clearly:6;consider:2
shard_00,raw,4,0,0,0,0,ensure:25;start:16;focus:9;clearly:6;avoid:2
shard_00,raw,7,1,0,0,1,ensure:24;start:20;focus:9;clearly:3;always:2
shard_00,raw,23,0,0,0,0,ensure:22;start:18;focus:7;create:5;clearly:4
shard_00,task_only,6,0,0,0,0,ensure:23;start:22;clearly:7;set:2;establish:2
shard_00,task_only,22,0,0,0,0,ensure:24;start:14;clearly:5;set:4;focus:4
shard_00,task_only,26,0,0,0,0,ensure:24;start:20;focus:3;set:3;clearly:3
shard_00,task_only,1,0,0,0,0,ensure:23;start:16;focus:5;set:4;clearly:4
shard_00,task_only,17,0,0,0,0,ensure:21;start:19;clearly:6;set:3;always:3
shard_00,task_only,19,0,0,0,0,ensure:28;start:16;clearly:5;focus:3;set:3
shard_00,task_only,15,0,0,0,0,ensure:20;start:17;clearly:8;first:3;always:3
shard_00,task_only,31,0,0,0,0,ensure:29;start:16;clearly:8;focus:5;watch:2
shard_00,task_only,8,0,0,0,0,ensure:23;start:22;clearly:7;set:2;establish:2
shard_00,task_only,4,0,0,0,0,ensure:24;start:14;clearly:5;set:4;focus:4
shard_00,task_only,7,0,0,0,0,ensure:24;start:20;focus:3;set:3;clearly:3
shard_00,task_only,23,0,0,0,0,ensure:23;start:16;focus:5;set:4;clearly:4
shard_01,protected,6,3,10,0,13,start:12;ensure:10;focus:7;create:5;clearly:4
shard_01,protected,22,0,10,0,10,ensure:18;start:10;focus:7;outline:5;keep:4
shard_01,protected,26,13,0,0,13,ensure:13;map:11;start:7;focus:5;clearly:4
shard_01,protected,1,0,22,0,22,organize:20;ensure:14;focus:5;set:5;keep:4
shard_01,protected,17,0,8,0,8,ensure:9;focus:9;schedule:8;clearly:7;check:6
shard_01,protected,19,31,0,0,31,check:15;map:14;ensure:9;focus:4;keep:3
shard_01,protected,15,19,0,0,19,organize:18;ensure:9;focus:5;start:5;clearly:4
shard_01,protected,31,9,0,0,9,ensure:16;start:8;keep:6;prioritize:5;clearly:5
shard_01,protected,8,0,18,0,18,start:11;review:9;map:9;focus:7;ensure:7
shard_01,protected,4,22,0,0,22,organize:16;ensure:16;focus:7;outline:4;keep:4
shard_01,protected,7,0,21,0,21,check:19;start:9;clearly:6;focus:4;ensure:4
shard_01,protected,23,0,21,0,21,organize:21;ensure:14;focus:5;set:5;keep:4
shard_01,raw,6,5,0,0,5,start:13;ensure:12;focus:9;clearly:5;check:5
shard_01,raw,22,0,0,0,0,ensure:22;start:11;focus:8;clearly:6;keep:4
shard_01,raw,26,0,5,0,5,ensure:14;start:10;clearly:6;focus:5;check:5
shard_01,raw,1,0,0,0,0,ensure:17;start:8;keep:6;focus:5;clearly:5
shard_01,raw,17,0,0,0,0,ensure:9;focus:9;clearly:8;check:7;create:6
shard_01,raw,19,3,0,0,3,ensure:16;start:8;keep:5;focus:5;set:5
shard_01,raw,15,0,0,0,0,ensure:12;start:9;clearly:7;set:6;focus:5
shard_01,raw,31,0,0,0,0,ensure:18;start:9;keep:7;create:6;clearly:5
shard_01,raw,8,0,0,0,0,start:13;ensure:12;focus:9;clearly:5;check:5
shard_01,raw,4,0,0,0,0,ensure:22;start:11;focus:8;clearly:6;keep:4
shard_01,raw,7,0,5,0,5,ensure:14;start:10;clearly:6;focus:5;check:5
shard_01,raw,23,0,0,0,0,ensure:17;start:8;keep:6;focus:5;clearly:5
shard_01,task_only,6,5,0,0,5,start:15;ensure:12;clearly:6;check:5;create:5
shard_01,task_only,22,0,0,0,0,ensure:23;start:10;clearly:6;set:6;keep:3
shard_01,task_only,26,0,6,0,6,ensure:12;start:11;check:6;clearly:5;set:5
shard_01,task_only,1,0,1,0,1,ensure:18;start:12;keep:7;set:6;focus:3
shard_01,task_only,17,0,0,0,0,ensure:10;start:8;clearly:7;create:7;check:7
shard_01,task_only,19,3,0,0,3,ensure:15;start:9;set:7;create:6;clearly:4
shard_01,task_only,15,0,0,0,0,ensure:13;start:8;clearly:6;set:6;create:5
shard_01,task_only,31,0,0,0,0,ensure:16;start:11;keep:6;clearly:6;create:5
shard_01,task_only,8,0,0,0,0,start:15;ensure:12;clearly:6;check:5;create:5
shard_01,task_only,4,0,0,0,0,ensure:23;start:10;clearly:6;set:6;keep:3
shard_01,task_only,7,0,6,0,6,ensure:12;start:11;check:6;clearly:5;set:5
shard_01,task_only,23,1,0,0,1,ensure:18;start:12;keep:7;set:6;focus:3
shard_02,protected,6,3,9,0,12,start:12;ensure:11;clearly:7;focus:7;create:6
shard_02,protected,22,0,18,0,18,ensure:15;outline:10;keep:6;schedule:6;start:6
shard_02,protected,26,6,1,0,7,ensure:15;clearly:10;focus:7;start:6;map:6
shard_02,protected,1,0,25,0,25,organize:19;ensure:12;focus:7;clearly:5;keep:4
shard_02,protected,17,0,9,0,9,start:10;clearly:10;focus:10;ensure:10;schedule:9
shard_02,protected,19,30,0,0,30,check:16;map:13;focus:7;ensure:6;keep:6
shard_02,protected,15,19,0,0,19,organize:19;ensure:8;focus:8;check:6;clearly:5
shard_02,protected,31,11,0,0,11,ensure:18;start:9;focus:7;clearly:6;schedule:6
shard_02,protected,8,0,21,0,21,map:12;review:9;start:8;focus:8;clearly:6
shard_02,protected,4,23,0,0,23,ensure:13;organize:12;keep:7;track:6;focus:5
shard_02,protected,7,0,24,0,24,check:22;clearly:10;start:8;ensure:5;focus:5
shard_02,protected,23,0,25,0,25,organize:20;ensure:12;focus:7;clearly:6;track:5
shard_02,raw,6,9,0,0,9,start:12;clearly:9;check:9;ensure:9;focus:8
shard_02,raw,22,0,0,0,0,ensure:18;keep:10;start:8;clearly:7;focus:5
shard_02,raw,26,0,5,0,5,ensure:12;clearly:12;start:9;focus:7;check:5
shard_02,raw,1,0,1,0,1,ensure:15;clearly:10;focus:8;start:7;keep:6
shard_02,raw,17,0,0,0,0,clearly:12;ensure:12;start:10;focus:10;check:4
shard_02,raw,19,3,0,0,3,ensure:15;clearly:9;start:9;focus:9;keep:7
shard_02,raw,15,0,0,0,0,ensure:14;start:9;focus:9;clearly:7;check:7
shard_02,raw,31,0,0,0,0,ensure:19;start:10;focus:8;clearly:6;keep:5
shard_02,raw,8,0,0,0,0,start:12;clearly:9;check:9;ensure:9;focus:8
shard_02,raw,4,0,0,0,0,ensure:18;keep:10;start:8;clearly:7;focus:5
shard_02,raw,7,0,5,0,5,ensure:12;clearly:12;start:9;focus:7;check:5
shard_02,raw,23,0,1,0,1,ensure:15;clearly:10;focus:8;start:7;keep:6
shard_02,task_only,6,9,0,0,9,start:14;ensure:10;clearly:9;check:9;create:6
