artifact_group,readiness_decision,bundle_action,include_in_dry_run_bundle,bundle_source_path,bundle_source_role,planned_supplement_path,review_artifact_path,source_exists,source_sha256,review_artifact_exists,manual_review_required,publication_blocker,remaining_action,claim_scope_guard
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/main.tex,original_source,manuscript_source/main.tex,,True,1f59d67aca4269850de37b233c7657e60c8c9974136dc90b5f9cb4986b7efd03,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,original_source,manuscript_source/section_01_introduction.tex,,True,7bae9397e1ec77f3eb57b91583e724747dd6539116275ca231496658194df99c,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,original_source,manuscript_source/section_02_related_work.tex,,True,db986efdf6e6356a7ef9c4c9068b719a9d5d99795de3ad2953cf2163c8a5bccf,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,original_source,manuscript_source/section_03_problem_setup.tex,,True,5df4ae73fd0847f62287c77aa978ade587b678e9e2a4a33312e5dce9dce98e13,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,original_source,manuscript_source/section_04_tokenizer_alignment.tex,,True,13eab833686254997a581d2b7338a9c982964c18d14524e1e152082e89f2fed2,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,original_source,manuscript_source/section_05_bucket_level_injection.tex,,True,d5b4cabd86e77d922edd18c8208413a08aa78faa300d79858e5ea7193169419e,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,original_source,manuscript_source/section_06_deterministic_verification.tex,,True,3727263bc453428c9ec7953f08f0e5c67c449c778d3f7519a184ffce9f37dd74,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,original_source,manuscript_source/section_07_experiments.tex,,True,1b618fc3821847ef904655c0375b05d80a07bd7f4bbeb97d8ed8f29e2a651ea0,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,original_source,manuscript_source/section_08_discussion_limitations.tex,,True,d1c211c2e12b0323198d204cc62db6e38dfddf9d412114c295d2757e59601e9e,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,original_source,manuscript_source/section_09_conclusion.tex,,True,7d95943f193f2e9e1f50fceb794945d522e3ad971a965df1c97d9d7e5eabb4ca,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/appendix/proofs.tex,original_source,manuscript_source/appendix/proofs.tex,,True,95271362a5e71d16ff763e3e3aed519b653dd60f9ad07e40f8fa0e11fe5c3f78,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
manuscript_source,ready_for_final_license_scope_review,direct_include_after_final_license_scope_review,True,manuscripts/69db2644566dcc36c9da320e/appendix/formal_substrate_gap.tex,original_source,manuscript_source/appendix/formal_substrate_gap.tex,,True,d16746bb9acffcddeb919791bef19c68fd7ec351eaa8291253bb7335478469b0,False,False,False,final license and scope check before public bundle construction,preserves VSG substrate-gap claim boundary
