artifact_group,source_path,planned_supplement_path,scope_note_type,public_label,allowed_interpretation,forbidden_claims,manual_review_required
trace_bound_corpus_summary,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,evidence/trace_bound_controllability/corpus_manifest.json,trace_bound_scope_note,provider-side trace-bound diagnostic summary only,provider-side trace-bound diagnostic summary only; not public text-only verification,public text-only verification success; ownership proof; public final-text codeword recovery,True
public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_curve.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,True
public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_transform_summary.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,True
public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_examples.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,True
public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_summary.json,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,True
public_predicate_attack_ladder,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_report.md,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,source_mismatch_spoofing_scope_note,source-mismatch public-predicate spoofing artifact only,source-mismatch spoofing evidence only; not protected success and not codeword recovery,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite,True
stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_results.csv,evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,local_non_claim_pilot_scope_note,local non-adopted/historical pilot only,local non-adopted/historical pilot only; not adopted locked evidence,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,True
stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_block_scores.csv,evidence/local_pilots/stronger_public_predicate/public_text_verifier_block_scores.csv,local_non_claim_pilot_scope_note,local non-adopted/historical pilot only,local non-adopted/historical pilot only; not adopted locked evidence,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,True
stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_summary.json,evidence/local_pilots/stronger_public_predicate/public_text_verifier_summary.json,local_non_claim_pilot_scope_note,local non-adopted/historical pilot only,local non-adopted/historical pilot only; not adopted locked evidence,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,True
stronger_public_predicate_local_pilot,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_report.md,evidence/local_pilots/stronger_public_predicate/public_text_verifier_report.md,local_non_claim_pilot_scope_note,local non-adopted/historical pilot only,local non-adopted/historical pilot only; not adopted locked evidence,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim,True
