run_id,case_id,variant_id,block_count,seed,payload,accepted,verifier_success,decoded_payload,expected_payload,decoded_block_count_correct,match_ratio,exact_slot_rate,bucket_correct_rate,parser_success,number_of_candidates,number_of_blocks_parsed,number_of_slots_expected,number_of_slots_decoded,number_of_slot_errors,number_of_symbol_errors,number_of_erasures,rs_decode_status,generated_text_path,eval_summary_path,train_summary_path,adapter_path,config_path,model_id,tokenizer_id,codebook_hash,payload_map_hash,train_contract_hash,eval_contract_hash,prompt_family_hash,field_order,bucket_partition_hash,rs_config_hash,generation_config_hash,adapter_checkpoint_hash,missing_hash_inputs,diagnostic_source,failure_reasons
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z,B1_U00_s17,B1,1,17,U00,True,True,U00,U00,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046647158Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429948784Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,9d9050f917cf0cac63ad7102e34a17167170fbe6aaf18e4e474e38110b97960f,da613ecf886905b48fe20b73df5d15899ce38a0efc7081dbc67feda45901f87a,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,07a97c82df2858e720e00d88a7aaab53a4a847d87be3c1fe03401afde83af2ec,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z,B1_U03_s17,B1,1,17,U03,True,True,U03,U03,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046677287Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125429985476Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,8277e738c9909a526c1a06fe71eaf85debf3e492c5fa41ff811b2fc5ac9b3234,bb1cd99a4da68164a185431698b895efb91f2be87e4bf91e53ab9add3e752645,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,1670534764e6c9c1042173858fa951ccf76df0166ce1f65ae224937bceb7aae4,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z,B1_U12_s17,B1,1,17,U12,True,True,U12,U12,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046703781Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430010882Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,b5c87a16fb9906072c6fd9c15f8b5649139c7f0db4b3d902954ba42c7853772b,f4cdcb7d290a605d43f1e782a21404b6cabd70f34a97dd0f334f7308b2265ae8,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,7d225e2044f09cc7c05994d9c52832032a220798b0c654d66986d9754c03a559,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z,B1_U15_s17,B1,1,17,U15,True,True,U15,U15,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T032046727060Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430034283Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,780e82f04ceea4062f1c59da58676726c1b45ea4a0d1a7c916c97c7dcfd1cbef,fd8154906d0355638ea44a98d090fd5b7a0fe889ffaea762bccd73707fda2489,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,30d5623a62abd27818343cb5cbcc4f03d9054bc8148500baeaf995bd89d2c2a8,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z,B1_U00_s23,B1,1,23,U00,True,True,U00,U00,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046752009Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430056865Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,9d9050f917cf0cac63ad7102e34a17167170fbe6aaf18e4e474e38110b97960f,da613ecf886905b48fe20b73df5d15899ce38a0efc7081dbc67feda45901f87a,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,923f4c9cc6e7cdb27072b432d5ee8ecb185bbca468c5c6e32e7ab20675198705,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z,B1_U03_s23,B1,1,23,U03,False,False,,U03,True,0.5,0.5,0.5,True,missing,1,2,2,1,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046774886Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,8277e738c9909a526c1a06fe71eaf85debf3e492c5fa41ff811b2fc5ac9b3234,bb1cd99a4da68164a185431698b895efb91f2be87e4bf91e53ab9add3e752645,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,3f5a63a9cf0821cf10512d35ae0f5604b7b062d52b720d21305c45f678d433d6,rs_config,run_files,"accepted,verifier_success,decoded_payload_correct"
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z,B1_U12_s23,B1,1,23,U12,False,False,,U12,True,0.0,0.0,0.0,True,missing,1,2,2,2,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046801691Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,b5c87a16fb9906072c6fd9c15f8b5649139c7f0db4b3d902954ba42c7853772b,f4cdcb7d290a605d43f1e782a21404b6cabd70f34a97dd0f334f7308b2265ae8,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,2453e5f62f6dd550ac9dd25ce9dc74577ebf77b2ee415794e12e8ae9cf483d01,rs_config,run_files,"accepted,verifier_success,decoded_payload_correct"
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z,B1_U15_s23,B1,1,23,U15,False,False,,U15,True,0.0,0.0,0.0,True,missing,1,2,2,2,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T032046826838Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,780e82f04ceea4062f1c59da58676726c1b45ea4a0d1a7c916c97c7dcfd1cbef,fd8154906d0355638ea44a98d090fd5b7a0fe889ffaea762bccd73707fda2489,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,c0d9233e0854125ecaa2f9a4ea531c88f74321e31b725781d1b803cb0e356d49,rs_config,run_files,"accepted,verifier_success,decoded_payload_correct"
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z,B1_U00_s29,B1,1,29,U00,True,True,U00,U00,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046849507Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,9d9050f917cf0cac63ad7102e34a17167170fbe6aaf18e4e474e38110b97960f,da613ecf886905b48fe20b73df5d15899ce38a0efc7081dbc67feda45901f87a,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,739cb1f25da56aa6f3e7b1c9a3c04cdfd264bbf064cf7a217e9d5440c66b5dc6,rs_config,run_files,
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z,B1_U03_s29,B1,1,29,U03,True,True,U03,U03,True,1.0,1.0,1.0,True,missing,1,2,2,0,missing,missing,not_configured_or_missing,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z/generated_text.txt,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T032046871568Z/checkpoints/hf_last,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/g3a_block_scale/b1/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z/config.resolved.yaml,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,c09e3866128bcc2ceeb57dbc9fd34e78b321500fe05c869cded1f49ff737ec92,d06c6c5674c5f1b5ed11aad031f0c4a829c6548ca80aada118ef8aaf421e3216,8277e738c9909a526c1a06fe71eaf85debf3e492c5fa41ff811b2fc5ac9b3234,bb1cd99a4da68164a185431698b895efb91f2be87e4bf91e53ab9add3e752645,34a728d2bf25cc54d7cd6a28721aa5470cc1b5bb908ed3207caa11e138fc285c,SECTION|TOPIC,157b4ef7d9ff5364c4beb082152855ec1f853950947f31f9442902be925d5d90,missing,5bbb502ea6b99b70e004602a5d5d8c16c0d219d647e47ee7daff32a231b497cf,15d8759b2bcb512e8cf752c54efdf36201f5b75aab030bea7faa7ce8352a48c0,rs_config,run_files,
