shard_index,shard_id,status,checked_rows,invalid_rows,source_shard_dir
0,shard_00,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_00
1,shard_01,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_01
2,shard_02,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_02
3,shard_03,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_03
4,shard_04,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_04
5,shard_05,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05
6,shard_06,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06
7,shard_07,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07
8,shard_08,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08
9,shard_09,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09
10,shard_10,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10
11,shard_11,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11
12,shard_12,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12
13,shard_13,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13
14,shard_14,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14
15,shard_15,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15
16,shard_16,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16
17,shard_17,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17
18,shard_18,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18
19,shard_19,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19
20,shard_20,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_20
21,shard_21,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_21
22,shard_22,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_22
23,shard_23,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_23
24,shard_24,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_24
25,shard_25,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_25
26,shard_26,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_26
27,shard_27,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_27
28,shard_28,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_28
29,shard_29,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_29
30,shard_30,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_30
31,shard_31,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_31
32,shard_32,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_32
33,shard_33,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_33
34,shard_34,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_34
