blocker_id,resolution_track,artifact_group,bundle_action,bundle_source_path,planned_supplement_path,review_artifact_path,source_exists,source_sha256,review_artifact_exists,required_evidence_before_resolution,resolution_gate,claim_scope_guard
PSB-001,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/trace_bound_accepts.csv,evidence/figure_data/trace_bound_accepts.csv,,True,652719d8838e5602b2a6aec217a35ed6e2021e5cfe2d4e12987948561b9362ad,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-002,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/public_text_verifier_baselines.csv,evidence/figure_data/public_text_verifier_baselines.csv,,True,69bbf5497154a3247948bff0f12d0a2f49f4824b4b8715e0774008308c30065d,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-003,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/template_leakage_summary.csv,evidence/figure_data/template_leakage_summary.csv,,True,4b2b8647896ba452d4846df2220f4e9a7128523f92e069a6ca325db0170514a8,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-004,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/attack_ladder_summary.csv,evidence/figure_data/attack_ladder_summary.csv,,True,b1774c7f683ada8f4735c2134c9054fa96c9a68aca160922abfa2afbd5a2da99,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-005,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/ownership_scenario_heatmap.csv,evidence/figure_data/ownership_scenario_heatmap.csv,,True,4b628519e2b8ef1eaaea471978cda15f98879d274020334b324ea9e087b69f77,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-006,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/claim_ledger.csv,evidence/figure_data/claim_ledger.csv,,True,d7e2902360276c570ba65892d4b7db222cd456ee7fecca992bc6b4317b231ad9,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-007,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_summary.json,evidence/figure_data/figure_data_summary.json,,True,adff4ae4c8832dcc3634053789f925191a4c55cb66155335ba36ab07364ae878,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-008,copy_required,figure_data,copy_source_to_bundle_after_review,results/verification_substrate_gap/paper_figure_data_20260530/figure_data_manifest.json,evidence/figure_data/figure_data_manifest.json,,True,e852ac823131ac2e4f607397eb23acff46a182cf2e6f76c9ab5e76b3ec944e77,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-013,copy_required,public_text_verifier_baselines,copy_source_to_bundle_after_review,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_results.csv,evidence/public_text_verifier_baselines/public_text_verifier_results.csv,,True,338643559be5c2727ef20a8358b43e75c2c2ac4bc2fb6887980da4de623661e1,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
PSB-014,copy_required,public_text_verifier_baselines,copy_source_to_bundle_after_review,results/verification_substrate_gap/public_text_verifier_remote_20260529/public_text_verifier_block_scores.csv,evidence/public_text_verifier_baselines/public_text_verifier_block_scores.csv,,True,1428a4bfe5b71709bf0852738dc30bd8e7fa5a780d8ccba8ae714ab1ae28d0ad,False,source file copied to planned supplement path and hash verified against dry-run source,not_resolved_artifact_only_checklist,preserves VSG substrate-gap claim boundary
