condition,surface_id,coordinate_id,polarity_or_code_symbol,canonical_lemma_or_phrase,alias_count_total,outputs_with_surface
protected,r4_s00_00,0,0,review the plan,0,0
raw,r4_s00_00,0,0,review the plan,5,5
task_only,r4_s00_00,0,0,review the plan,8,8
protected,r4_s00_01,0,0,check the details,0,0
raw,r4_s00_01,0,0,check the details,0,0
task_only,r4_s00_01,0,0,check the details,0,0
protected,r4_s00_02,0,0,confirm the timing,0,0
raw,r4_s00_02,0,0,confirm the timing,0,0
task_only,r4_s00_02,0,0,confirm the timing,0,0
protected,r4_s00_03,0,0,prepare the materials,3,3
raw,r4_s00_03,0,0,prepare the materials,6,6
task_only,r4_s00_03,0,0,prepare the materials,3,3
protected,r4_s01_00,1,1,explain the reason,0,0
raw,r4_s01_00,1,1,explain the reason,0,0
task_only,r4_s01_00,1,1,explain the reason,0,0
protected,r4_s01_01,1,1,share the update,0,0
raw,r4_s01_01,1,1,share the update,0,0
task_only,r4_s01_01,1,1,share the update,0,0
protected,r4_s01_02,1,1,summarize the issue,0,0
raw,r4_s01_02,1,1,summarize the issue,0,0
task_only,r4_s01_02,1,1,summarize the issue,0,0
protected,r4_s01_03,1,1,clarify the next move,0,0
raw,r4_s01_03,1,1,clarify the next move,0,0
task_only,r4_s01_03,1,1,clarify the next move,0,0
protected,r4_s02_00,2,0,keep notes,0,0
raw,r4_s02_00,2,0,keep notes,3,3
task_only,r4_s02_00,2,0,keep notes,4,4
protected,r4_s02_01,2,0,track progress,0,0
raw,r4_s02_01,2,0,track progress,96,96
task_only,r4_s02_01,2,0,track progress,130,130
protected,r4_s02_02,2,0,record the choice,0,0
raw,r4_s02_02,2,0,record the choice,0,0
task_only,r4_s02_02,2,0,record the choice,0,0
protected,r4_s02_03,2,0,organize the details,0,0
raw,r4_s02_03,2,0,organize the details,1,1
task_only,r4_s02_03,2,0,organize the details,0,0
protected,r4_s03_00,3,1,choose a simple option,0,0
raw,r4_s03_00,3,1,choose a simple option,0,0
task_only,r4_s03_00,3,1,choose a simple option,0,0
protected,r4_s03_01,3,1,make a small adjustment,0,0
raw,r4_s03_01,3,1,make a small adjustment,0,0
task_only,r4_s03_01,3,1,make a small adjustment,0,0
protected,r4_s03_02,3,1,finish the task,0,0
raw,r4_s03_02,3,1,finish the task,0,0
task_only,r4_s03_02,3,1,finish the task,0,0
protected,r4_s03_03,3,1,build a clear routine,0,0
raw,r4_s03_03,3,1,build a clear routine,0,0
task_only,r4_s03_03,3,1,build a clear routine,0,0
protected,r4_s04_00,4,0,review the plan,0,0
raw,r4_s04_00,4,0,review the plan,5,5
task_only,r4_s04_00,4,0,review the plan,8,8
protected,r4_s04_01,4,0,check the details,0,0
raw,r4_s04_01,4,0,check the details,0,0
task_only,r4_s04_01,4,0,check the details,0,0
protected,r4_s04_02,4,0,confirm the timing,0,0
raw,r4_s04_02,4,0,confirm the timing,0,0
task_only,r4_s04_02,4,0,confirm the timing,0,0
protected,r4_s04_03,4,0,prepare the materials,3,3
raw,r4_s04_03,4,0,prepare the materials,6,6
task_only,r4_s04_03,4,0,prepare the materials,3,3
protected,r4_s05_00,5,1,explain the reason,0,0
raw,r4_s05_00,5,1,explain the reason,0,0
task_only,r4_s05_00,5,1,explain the reason,0,0
protected,r4_s05_01,5,1,share the update,0,0
raw,r4_s05_01,5,1,share the update,0,0
task_only,r4_s05_01,5,1,share the update,0,0
protected,r4_s05_02,5,1,summarize the issue,0,0
raw,r4_s05_02,5,1,summarize the issue,0,0
task_only,r4_s05_02,5,1,summarize the issue,0,0
protected,r4_s05_03,5,1,clarify the next move,0,0
raw,r4_s05_03,5,1,clarify the next move,0,0
task_only,r4_s05_03,5,1,clarify the next move,0,0
protected,r4_s06_00,6,0,keep notes,0,0
raw,r4_s06_00,6,0,keep notes,3,3
task_only,r4_s06_00,6,0,keep notes,4,4
protected,r4_s06_01,6,0,track progress,0,0
raw,r4_s06_01,6,0,track progress,96,96
task_only,r4_s06_01,6,0,track progress,130,130
protected,r4_s06_02,6,0,record the choice,0,0
raw,r4_s06_02,6,0,record the choice,0,0
task_only,r4_s06_02,6,0,record the choice,0,0
protected,r4_s06_03,6,0,organize the details,0,0
raw,r4_s06_03,6,0,organize the details,1,1
task_only,r4_s06_03,6,0,organize the details,0,0
protected,r4_s07_00,7,1,choose a simple option,0,0
raw,r4_s07_00,7,1,choose a simple option,0,0
task_only,r4_s07_00,7,1,choose a simple option,0,0
protected,r4_s07_01,7,1,make a small adjustment,0,0
raw,r4_s07_01,7,1,make a small adjustment,0,0
task_only,r4_s07_01,7,1,make a small adjustment,0,0
protected,r4_s07_02,7,1,finish the task,0,0
raw,r4_s07_02,7,1,finish the task,0,0
task_only,r4_s07_02,7,1,finish the task,0,0
protected,r4_s07_03,7,1,build a clear routine,0,0
raw,r4_s07_03,7,1,build a clear routine,0,0
task_only,r4_s07_03,7,1,build a clear routine,0,0
protected,r4_s08_00,8,0,review the plan,0,0
raw,r4_s08_00,8,0,review the plan,5,5
task_only,r4_s08_00,8,0,review the plan,8,8
protected,r4_s08_01,8,0,check the details,0,0
raw,r4_s08_01,8,0,check the details,0,0
task_only,r4_s08_01,8,0,check the details,0,0
protected,r4_s08_02,8,0,confirm the timing,0,0
raw,r4_s08_02,8,0,confirm the timing,0,0
task_only,r4_s08_02,8,0,confirm the timing,0,0
protected,r4_s08_03,8,0,prepare the materials,3,3
raw,r4_s08_03,8,0,prepare the materials,6,6
task_only,r4_s08_03,8,0,prepare the materials,3,3
protected,r4_s09_00,9,1,explain the reason,0,0
raw,r4_s09_00,9,1,explain the reason,0,0
task_only,r4_s09_00,9,1,explain the reason,0,0
protected,r4_s09_01,9,1,share the update,0,0
raw,r4_s09_01,9,1,share the update,0,0
task_only,r4_s09_01,9,1,share the update,0,0
protected,r4_s09_02,9,1,summarize the issue,0,0
raw,r4_s09_02,9,1,summarize the issue,0,0
task_only,r4_s09_02,9,1,summarize the issue,0,0
protected,r4_s09_03,9,1,clarify the next move,0,0
raw,r4_s09_03,9,1,clarify the next move,0,0
task_only,r4_s09_03,9,1,clarify the next move,0,0
protected,r4_s10_00,10,0,keep notes,0,0
raw,r4_s10_00,10,0,keep notes,3,3
task_only,r4_s10_00,10,0,keep notes,4,4
protected,r4_s10_01,10,0,track progress,0,0
raw,r4_s10_01,10,0,track progress,96,96
task_only,r4_s10_01,10,0,track progress,130,130
protected,r4_s10_02,10,0,record the choice,0,0
raw,r4_s10_02,10,0,record the choice,0,0
task_only,r4_s10_02,10,0,record the choice,0,0
protected,r4_s10_03,10,0,organize the details,0,0
raw,r4_s10_03,10,0,organize the details,1,1
task_only,r4_s10_03,10,0,organize the details,0,0
protected,r4_s11_00,11,1,choose a simple option,0,0
raw,r4_s11_00,11,1,choose a simple option,0,0
task_only,r4_s11_00,11,1,choose a simple option,0,0
protected,r4_s11_01,11,1,make a small adjustment,0,0
raw,r4_s11_01,11,1,make a small adjustment,0,0
task_only,r4_s11_01,11,1,make a small adjustment,0,0
protected,r4_s11_02,11,1,finish the task,0,0
raw,r4_s11_02,11,1,finish the task,0,0
task_only,r4_s11_02,11,1,finish the task,0,0
