prompt_index,prompt_id,coordination_domain,prompt_text
0,r4_cover_dev_b45b9a96922f595fac8e,True,"Describe how to troubleshoot common issues for a weekend class working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
1,r4_cover_dev_175062fc16815410f325,True,"Give a natural quality-and-safety checklist for a weekend class working on volunteer coordination, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
2,r4_cover_dev_a35d85aa51cab814b0da,False,"Give practical advice for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
3,r4_cover_dev_8a92e4614e44c1350ce5,False,"Explain a practical approach for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
4,r4_cover_dev_eefcb2874fce340f33d4,False,"Give maintenance guidance for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
5,r4_cover_dev_a5ab6d95a16253c43105,False,"Describe a planning approach for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
6,r4_cover_dev_44a47b1b8077805eb7b4,False,"Describe how to troubleshoot common issues for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
7,r4_cover_dev_828daec520a7a6bda26d,False,"Give a natural quality-and-safety checklist for a weekend class working on household planning, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
8,r4_cover_dev_414abd5e7f5ba1b09d8d,False,"Give practical advice for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
9,r4_cover_dev_8384e707c9a1755ff55c,False,"Explain a practical approach for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
10,r4_cover_dev_b708e275705353bc64a8,False,"Give maintenance guidance for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
11,r4_cover_dev_39496af6eb8eb963836f,False,"Describe a planning approach for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
12,r4_cover_dev_b731a4ca5a787e12e3a5,False,"Describe how to troubleshoot common issues for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
13,r4_cover_dev_c0c271f51f40ec42f35e,False,"Give a natural quality-and-safety checklist for a weekend class working on small office maintenance, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
14,r4_cover_dev_a74d553bacda13c07fd1,False,"Give practical advice for a weekend class working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
15,r4_cover_dev_e615001a045836ed6d95,False,"Explain a practical approach for a weekend class working on study routine, with emphasis on keeping the tone calm. Focus on common mistakes. Write a useful, ordinary answer in short paragraphs or natural bullets. Do not use numbered steps, fixed line labels, hidden-code terminology, or headings."
