grid_index,path,bonus_nats,penalty_nats,max_kl_budget,max_target_mass,mode,condition_plan,score_row_count,scored_row_count,model_generation_started,training_started,llama_started,far_aggregation_started,controller_condition_set,controlled_mean_target_mass,controlled_lift_vs_base,controlled_lift_vs_task_only,controlled_rank1_rate,controlled_median_target_margin,controlled_basic_gate_pass,overall_selective_gate_pass,wrong_key_mean_target_mass,wrong_key_lift_vs_base,wrong_key_rank1_rate,wrong_key_basic_gate_pass,wrong_payload_mean_target_mass,wrong_payload_lift_vs_base,wrong_payload_rank1_rate,wrong_payload_basic_gate_pass,base_mean_target_mass,task_only_mean_target_mass,summary_schema
0,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_00/r4_teacher_forced_surface_mass_summary.json,1.5,0.25,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.020235497145762338,0.015403660101924288,0.01856306929712037,0.498046875,-0.00010981105151586235,False,False,0.011899421799898224,0.0070675847560601746,0.2757568359375,False,0.0036231331433782543,-0.0012087039004597955,0.056640625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
1,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_01/r4_teacher_forced_surface_mass_summary.json,1.5,0.25,0.2,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.020511004511348574,0.015679167467510524,0.018838576662706608,0.498046875,-0.00010981105151586235,False,False,0.012011504031049558,0.007179666987211508,0.2757568359375,False,0.0035724582761531565,-0.0012593787676848933,0.056640625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
2,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_02/r4_teacher_forced_surface_mass_summary.json,1.5,0.25,0.1,0.5,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.020235497145762338,0.015403660101924288,0.01856306929712037,0.498046875,-0.00010981105151586235,False,False,0.011898352781123389,0.007066515737285339,0.2757568359375,False,0.0036209006914305064,-0.0012109363524075434,0.056640625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
3,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_03/r4_teacher_forced_surface_mass_summary.json,1.5,0.25,0.2,0.5,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.020511004511348574,0.015679167467510524,0.018838576662706608,0.498046875,-0.00010981105151586235,False,False,0.012005389320756787,0.007173552276918738,0.2757568359375,False,0.0035607409145761437,-0.001271096129261906,0.056640625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
4,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_04/r4_teacher_forced_surface_mass_summary.json,1.5,0.5,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.0203081768856066,0.01547633984176855,0.018635749036964633,0.5234375,0.0006251955928746611,False,False,0.01154920990604702,0.00671737286220897,0.2801513671875,False,0.002853331000622461,-0.0019785060432155888,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
5,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_05/r4_teacher_forced_surface_mass_summary.json,1.5,0.5,0.2,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.02058830873343709,0.01575647168959904,0.018915880884795122,0.5234375,0.0006251955928746611,False,False,0.011660224291198729,0.006828387247360679,0.2801513671875,False,0.002796014601496921,-0.0020358224423411286,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
6,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_06/r4_teacher_forced_surface_mass_summary.json,1.5,0.5,0.1,0.5,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.0203081768856066,0.01547633984176855,0.018635749036964633,0.5234375,0.0006251955928746611,False,False,0.01154798007558866,0.00671614303175061,0.2801513671875,False,0.002850761316810946,-0.001981075727027104,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
7,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_07/r4_teacher_forced_surface_mass_summary.json,1.5,0.5,0.2,0.5,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.02058830873343709,0.01575647168959904,0.018915880884795122,0.5234375,0.0006251955928746611,False,False,0.01165366476780183,0.00682182772396378,0.2801513671875,False,0.002783425835918507,-0.0020484112079195427,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
8,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_08/r4_teacher_forced_surface_mass_summary.json,1.75,0.25,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.024635806498508828,0.019803969454670778,0.02296337864986686,0.5234375,0.0008000128727871925,False,False,0.014102462515907632,0.009270625472069582,0.2801513671875,False,0.003620852708337452,-0.0012109843355005978,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
9,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_864117/grid_09/r4_teacher_forced_surface_mass_summary.json,1.75,0.25,0.2,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.025776499904850425,0.020944662861012375,0.02410407205620846,0.5234375,0.0008000128727871925,False,False,0.014617396283977513,0.009785559240139463,0.2801513671875,False,0.003541377834913817,-0.0012904592089242328,0.041015625,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
