shard_id,arm,blocks,accepts,forbidden_public_surface_count
shard_00,protected,4,0,2
shard_00,raw,4,0,2
shard_00,task_only,4,0,2
shard_00,wrong_key,4,0,2
shard_00,wrong_payload,4,0,2
shard_01,protected,4,0,4
shard_01,raw,4,0,0
shard_01,task_only,4,0,1
shard_01,wrong_key,4,0,4
shard_01,wrong_payload,4,0,4
shard_02,protected,4,0,2
shard_02,raw,4,0,5
shard_02,task_only,4,0,0
shard_02,wrong_key,4,0,2
shard_02,wrong_payload,4,0,2
shard_03,protected,4,0,4
shard_03,raw,4,0,0
shard_03,task_only,4,0,0
shard_03,wrong_key,4,0,4
shard_03,wrong_payload,4,0,4
