case_id,b_stage,method_id,method_slug,method_name,display_name,baseline_family,baseline_role,train_objective,matched_budget_status,requires_training,requires_external_integration,block_count,payload,seed,query_budget,queries_used,target_far,frozen_threshold,calibration_observed_far,utility_acceptance_rate,ownership_score,accepted,verifier_success,decoded_payload,status,result_class,failure_reasons,valid_completed,success,method_failure,invalid_excluded,pending,unavailable,contract_hash_status,run_dir,case_root,eval_summary_path,train_summary_path,config_path
fixed_representative_U00_s17,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U00,17,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U00,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912095170Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912095170Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T052009586468Z/train_summary.json,
fixed_representative_U03_s17,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U03,17,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U03,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912130589Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912130589Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T052009626730Z/train_summary.json,
fixed_representative_U12_s17,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U12,17,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U12,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912157604Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912157604Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T052009658472Z/train_summary.json,
fixed_representative_U15_s17,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U15,17,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U15,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912183864Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s17,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T131912183864Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__c6fd412__20260428T052009681468Z/train_summary.json,
fixed_representative_U00_s23,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U00,23,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U00,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912208682Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912208682Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T052009703713Z/train_summary.json,
fixed_representative_U03_s23,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U03,23,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U03,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912234916Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912234916Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T052009725842Z/train_summary.json,
fixed_representative_U12_s23,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U12,23,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U12,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912259803Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912259803Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T052009763699Z/train_summary.json,
fixed_representative_U15_s23,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U15,23,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U15,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912284084Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s23,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T131912284084Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__c6fd412__20260428T052009786290Z/train_summary.json,
fixed_representative_U00_s29,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U00,29,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U00,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T131912308532Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T131912308532Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T052009809143Z/train_summary.json,
fixed_representative_U03_s29,B1,fixed_representative,fixed_representative,our_method,Fixed representative,fixed_representative,primary_ownership_baseline,fixed_representative,matched,True,False,2,U03,29,4,4,0.01,1.0,0.0,1.0,1.0,True,True,U03,completed,valid_success,,True,True,False,False,False,False,missing_hash,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T131912333689Z,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T131912333689Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/matched_budget_baselines_v1/final/fixed_representative/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__c6fd412__20260428T052009832098Z/train_summary.json,
