prefix_family_id,assistant_prefix_before_surface,row_count,row_fraction
calm_forward,A calm way forward is to ,6144,0.0625
clearer_work,"For clearer work, ",6144,0.0625
direct_next_step,A direct next step is to ,6144,0.0625
helpful_start,A helpful start is to ,6144,0.0625
low_risk_start,A low-risk start is to ,6144,0.0625
next_action,A useful next action is to ,6144,0.0625
practical_option,One practical option is to ,6144,0.0625
reasonable_followup,A reasonable follow-up is to ,6144,0.0625
safe_first_move,A safe first move is to ,6144,0.0625
simple_followup,A simple follow-up is to ,6144,0.0625
small_practical_step,A small practical step is to ,6144,0.0625
steady_next_step,A steady next step is to ,6144,0.0625
steady_progress,"To keep progress steady, ",6144,0.0625
useful_habit,One useful habit is to ,6144,0.0625
useful_next_move,A useful next move is to ,6144,0.0625
clear_next_move,A clear next move is to ,6144,0.0625
