condition,shard,prompt_index,coordinate_id,prefix_family_id,term,context,prompt_mentions_coordination,likely_domain_sense,response_head
raw,shard_00,40,31,low_risk_start,coordinate,"tasks, break them down into small steps. This makes it easier to manage and track progress.   Keep a shared calendar to coordinate schedules and deadlines. Use color coding if needed.  Regular meetings help keep everyone aligned. Aim for quick check-",0,1,"A low-risk start is to focus on clear communication and organization. Avoid jargon and keep explanations simple.   When discussing budgets, be honest about what's possible and set realistic goals. Don't overpromise.  For tasks, break them d"
protected,shard_01,68,15,simple_followup,coordinate,ing schedules and ensuring no important dates are missed.  Assign a point person for each event to handle logistics and coordinate volunteers. This reduces the workload on one individual and ensures smooth operations.  Be,1,1,A simple follow-up is to ensure everyone knows their role and responsibilities clearly. Misunderstandings often arise from unclear expectations.  Communicate regularly to keep the team informed about upcoming events and any changes. Frequen
raw,shard_01,68,15,simple_followup,coordinate,ing schedules and ensuring no important dates are missed.  Assign a point person for each event to handle logistics and coordinate volunteers. This reduces the workload on one individual and ensures smooth operations.  Be,1,1,A simple follow-up is to ensure everyone knows their role and responsibilities clearly. Misunderstandings often arise from unclear expectations.  Communicate regularly to keep the team informed about upcoming events and any changes. Frequen
protected,shard_02,142,31,useful_habit,coordinate,ils to keep in touch. Be clear and concise when you communicate tasks and updates.  Don't wait until the last minute to coordinate volunteers. Start planning well ahead of events. This gives you more time to address any issues that,1,1,One useful habit is to clearly define roles and responsibilities early on. Make sure everyone knows what they are supposed to do.   Regular meetings are key. Set a schedule and stick to it. This keeps everyone informed and helps resolve iss
raw,shard_02,131,1,clearer_work,coordinate,ack progress and updates - Communicate regularly through group chats or emails - Assign a point person for each task to coordinate efforts - Plan for backup volunteers in case of no-shows - Prepare for unexpected issues with a contingency plan - Ensu,0,1,"For clearer work, a volunteer group should:  - Define the event goals and what success looks like - Divide tasks among members based on skills and availability - Set clear deadlines for each task - Use a shared calendar to track progress an"
raw,shard_02,131,23,clearer_work,coordinate,ack progress and updates - Communicate regularly through group chats or emails - Assign a point person for each task to coordinate efforts - Plan for backup volunteers in case of no-shows - Prepare for unexpected issues with a contingency plan - Ensu,0,1,"For clearer work, a volunteer group should:  - Define the event goals and what success looks like - Divide tasks among members based on skills and availability - Set clear deadlines for each task - Use a shared calendar to track progress an"
raw,shard_02,142,31,useful_habit,coordinate,ils to keep in touch. Be clear and concise when you communicate tasks and updates.  Don't wait until the last minute to coordinate volunteers. Start planning well ahead of events. This gives you more time to address any issues that,1,1,One useful habit is to clearly define roles and responsibilities early on. Make sure everyone knows what they are supposed to do.   Regular meetings are key. Set a schedule and stick to it. This keeps everyone informed and helps resolve iss
raw,shard_02,173,19,simple_followup,coordinate,"e, one person could handle scheduling meetings, another might be in charge of cleaning supplies, and someone else could coordinate with kitchen staff.  Create a timeline that includes all necessary steps from planning to",0,1,"A simple follow-up is to plan a shared kitchen organization project for a student club. Start by defining clear goals, like improving cleanliness and efficiency. Make sure everyone understands what the club aims to achieve.  Next, gather a "
protected,shard_03,206,6,clearer_work,Coordinate,eep ingredients and tools organized by frequency of use; put the most used items within easy reach. - Plan meals ahead: Coordinate meal planning to reduce last-minute rush and,0,0,"For clearer work, focus on these key areas:  - Label everything: Use simple labels for storage bins and containers to avoid confusion. - Keep it clean: Regularly clean surfaces and equipment to maintain hygiene and efficiency. - Assign role"
protected,shard_03,206,8,clearer_work,Coordinate,eep ingredients and tools organized by frequency of use; put the most used items within easy reach. - Plan meals ahead: Coordinate meal planning to reduce last-minute rush and,0,0,"For clearer work, focus on these key areas:  - Label everything: Use simple labels for storage bins and containers to avoid confusion. - Keep it clean: Regularly clean surfaces and equipment to maintain hygiene and efficiency. - Assign role"
protected,shard_03,249,1,calm_forward,coordinate," and availability. For example, one person can handle communication, another can manage logistics, and someone else can coordinate volunteers.  Use simple tools like spreadsheets or shared documents to keep track of schedules and tasks. This makes it",1,1,"A calm way forward is to organize tasks and responsibilities clearly. Start by making a list of all the volunteer activities needed. This helps everyone know what's required.  Assign roles based on skills and availability. For example, one "
protected,shard_03,249,23,calm_forward,coordinate," and availability. For example, one person can handle communication, another can manage logistics, and someone else can coordinate volunteers.  Use simple tools like spreadsheets or shared documents to keep track of schedules and tasks. This makes it",1,1,"A calm way forward is to organize tasks and responsibilities clearly. Start by making a list of all the volunteer activities needed. This helps everyone know what's required.  Assign roles based on skills and availability. For example, one "
raw,shard_03,206,6,clearer_work,Coordinate,eep ingredients and tools organized by frequency of use; put the most used items within easy reach. - Plan meals ahead: Coordinate meal planning to reduce last-minute rush and,0,0,"For clearer work, focus on these key areas:  - Label everything: Use simple labels for storage bins and containers to avoid confusion. - Keep it clean: Regularly clean surfaces and equipment to maintain hygiene and efficiency. - Assign role"
raw,shard_03,206,8,clearer_work,Coordinate,eep ingredients and tools organized by frequency of use; put the most used items within easy reach. - Plan meals ahead: Coordinate meal planning to reduce last-minute rush and,0,0,"For clearer work, focus on these key areas:  - Label everything: Use simple labels for storage bins and containers to avoid confusion. - Keep it clean: Regularly clean surfaces and equipment to maintain hygiene and efficiency. - Assign role"
