source_id,model_family,variant_id,arm,block_id,rows,mean_score,row_accept_rate,block_detected
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_00,208,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_01,128,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_02,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_03,240,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_04,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_05,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_06,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_07,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_08,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_09,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_10,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_11,112,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_12,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_13,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_14,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,protected,shard_15,72,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_00,208,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_01,128,0.0,0.0,False
