entry_id,artifact_group,source_path,source_sha256,candidate_bundle_path,planned_supplement_path,target_parent_dir,mkdir_command,copy_command,verify_sha256_command,source_exists,target_exists_now,ready_for_future_copy_after_review,execution_status,claim_scope_guard
PSP-001,manuscript_source,manuscripts/69db2644566dcc36c9da320e/main.tex,1f59d67aca4269850de37b233c7657e60c8c9974136dc90b5f9cb4986b7efd03,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/main.tex,manuscript_source/main.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/main.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/main.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/main.tex')
expected = '1f59d67aca4269850de37b233c7657e60c8c9974136dc90b5f9cb4986b7efd03'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-002,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex,7bae9397e1ec77f3eb57b91583e724747dd6539116275ca231496658194df99c,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_01_introduction.tex,manuscript_source/section_01_introduction.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_01_introduction.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_01_introduction.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_01_introduction.tex')
expected = '7bae9397e1ec77f3eb57b91583e724747dd6539116275ca231496658194df99c'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-003,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex,db986efdf6e6356a7ef9c4c9068b719a9d5d99795de3ad2953cf2163c8a5bccf,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_02_related_work.tex,manuscript_source/section_02_related_work.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_02_related_work.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_02_related_work.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_02_related_work.tex')
expected = 'db986efdf6e6356a7ef9c4c9068b719a9d5d99795de3ad2953cf2163c8a5bccf'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-004,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex,5df4ae73fd0847f62287c77aa978ade587b678e9e2a4a33312e5dce9dce98e13,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_03_problem_setup.tex,manuscript_source/section_03_problem_setup.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_03_problem_setup.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_03_problem_setup.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_03_problem_setup.tex')
expected = '5df4ae73fd0847f62287c77aa978ade587b678e9e2a4a33312e5dce9dce98e13'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-005,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex,13eab833686254997a581d2b7338a9c982964c18d14524e1e152082e89f2fed2,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_04_tokenizer_alignment.tex,manuscript_source/section_04_tokenizer_alignment.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_04_tokenizer_alignment.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_04_tokenizer_alignment.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_04_tokenizer_alignment.tex')
expected = '13eab833686254997a581d2b7338a9c982964c18d14524e1e152082e89f2fed2'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-006,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex,d5b4cabd86e77d922edd18c8208413a08aa78faa300d79858e5ea7193169419e,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_05_bucket_level_injection.tex,manuscript_source/section_05_bucket_level_injection.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_05_bucket_level_injection.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_05_bucket_level_injection.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_05_bucket_level_injection.tex')
expected = 'd5b4cabd86e77d922edd18c8208413a08aa78faa300d79858e5ea7193169419e'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-007,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex,3727263bc453428c9ec7953f08f0e5c67c449c778d3f7519a184ffce9f37dd74,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_06_deterministic_verification.tex,manuscript_source/section_06_deterministic_verification.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_06_deterministic_verification.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_06_deterministic_verification.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_06_deterministic_verification.tex')
expected = '3727263bc453428c9ec7953f08f0e5c67c449c778d3f7519a184ffce9f37dd74'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-008,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex,1b618fc3821847ef904655c0375b05d80a07bd7f4bbeb97d8ed8f29e2a651ea0,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_07_experiments.tex,manuscript_source/section_07_experiments.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_07_experiments.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_07_experiments.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_07_experiments.tex')
expected = '1b618fc3821847ef904655c0375b05d80a07bd7f4bbeb97d8ed8f29e2a651ea0'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-009,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex,d1c211c2e12b0323198d204cc62db6e38dfddf9d412114c295d2757e59601e9e,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_08_discussion_limitations.tex,manuscript_source/section_08_discussion_limitations.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_08_discussion_limitations.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_08_discussion_limitations.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_08_discussion_limitations.tex')
expected = 'd1c211c2e12b0323198d204cc62db6e38dfddf9d412114c295d2757e59601e9e'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
PSP-010,manuscript_source,manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex,7d95943f193f2e9e1f50fceb794945d522e3ad971a965df1c97d9d7e5eabb4ca,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_09_conclusion.tex,manuscript_source/section_09_conclusion.tex,results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,mkdir -p results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source,cp -p manuscripts/69db2644566dcc36c9da320e/section_09_conclusion.tex results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_09_conclusion.tex,"python3 - <<'PY'
import hashlib, pathlib, sys
path = pathlib.Path('results/verification_substrate_gap/public_supplement_candidate_20260601/manuscript_source/section_09_conclusion.tex')
expected = '7d95943f193f2e9e1f50fceb794945d522e3ad971a965df1c97d9d7e5eabb4ca'
actual = hashlib.sha256(path.read_bytes()).hexdigest()
sys.exit(0 if actual == expected else 1)
PY",True,False,True,not_executed_plan_only,preserves VSG substrate-gap claim boundary
