blocker_id,resolution_track,artifact_group,bundle_action,bundle_source_path,planned_supplement_path,review_artifact_path,source_exists,source_sha256,review_artifact_exists,required_evidence_before_resolution,resolution_gate,claim_scope_guard
PSB-009,human_review_required,trace_bound_corpus_summary,use_redacted_derivative_after_human_review,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/combined_blocks.csv,evidence/trace_bound_controllability_redacted/combined_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/combined_blocks.csv,True,e9aaea586d2e019f0a0a85c2f73f43868f577416e4c927d8c9aa804f70e364be,True,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,not_resolved_artifact_only_checklist,provider-side trace-bound diagnostic summary only; not public text-only verification
PSB-010,human_review_required,trace_bound_corpus_summary,use_redacted_derivative_after_human_review,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/qwen_blocks.csv,evidence/trace_bound_controllability_redacted/qwen_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/qwen_blocks.csv,True,51c5f39d1aa8910a7f109e8a4443d65e3a16b08d113c7c27ba04a8ae93cd3105,True,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,not_resolved_artifact_only_checklist,provider-side trace-bound diagnostic summary only; not public text-only verification
PSB-011,human_review_required,trace_bound_corpus_summary,use_redacted_derivative_after_human_review,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/evidence/trace_bound_controllability_redacted/llama_blocks.csv,evidence/trace_bound_controllability_redacted/llama_blocks.csv,results/verification_substrate_gap/corpora/trace_bound_controllability/llama_blocks.csv,True,2a017df490422f42df115ae13312a27932d6bf04e303d1b9d36a2a3641f28d50,True,human reviewer confirms redacted derivative removes private fields and preserves trace-bound-only claim scope,not_resolved_artifact_only_checklist,provider-side trace-bound diagnostic summary only; not public text-only verification
PSB-012,human_review_required,trace_bound_corpus_summary,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/corpora/trace_bound_controllability/corpus_manifest.json,evidence/trace_bound_controllability/corpus_manifest.json,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,2c6da64f505f21d271210020c0abaa46d189d7c5cbcb5dd6923dbaec9ace6eae,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; public final-text codeword recovery
PSB-017,human_review_required,public_predicate_attack_ladder,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_curve.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_curve.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,fcf9babeeb9a109ef1c5895c6aa06757a919ad897a6ab1f9eb333000f4cede0e,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSB-018,human_review_required,public_predicate_attack_ladder,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_transform_summary.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_transform_summary.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,afe93deb1cfdfb66c1326730f959e49446d4ccf4457640879de00b665bd83cc7,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSB-019,human_review_required,public_predicate_attack_ladder,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_examples.csv,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_examples.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,e5e13d20aa816030e11324a57e9f78545dc083bdf752d60f88331e22c0d48ef0,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSB-020,human_review_required,public_predicate_attack_ladder,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_summary.json,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_summary.json,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,a322d0493f8b6daedf5dcd57230cf0b6a92d2e610a1a2a4b726d177142d8966e,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSB-021,human_review_required,public_predicate_attack_ladder,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_verifier_surrogate_guided_rewrite_20260530/surrogate_guided_rewrite_report.md,evidence/public_predicate_attack_ladder_scope_limited/surrogate_guided_rewrite_report.md,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,936dccd48337f0badad5307ee25eeb4616606d1cfe7df06e8d041148e2703c4a,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; protected success; codeword recovery; naturalness-preserving rewrite
PSB-022,human_review_required,stronger_public_predicate_local_pilot,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_results.csv,evidence/local_pilots/stronger_public_predicate/public_text_verifier_results.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,447401ad936f1164daecbbdd2192f9c139088cc8d41649349f78e1dfa035d03b,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim
PSB-023,human_review_required,stronger_public_predicate_local_pilot,include_source_with_scope_note_after_human_review,results/verification_substrate_gap/public_text_verifier_stronger_local_pilot_20260601/public_text_verifier_block_scores.csv,evidence/local_pilots/stronger_public_predicate/public_text_verifier_block_scores.csv,results/verification_substrate_gap/public_supplement_review_derivatives_20260601/scope_notes.csv,True,7c475543f2b1a3a3c3646dd3e7ea9340367f0a419a69ce657b1116822cadc297,True,human reviewer approves source with scope note and confirms source-mismatch/non-claim wording,not_resolved_artifact_only_checklist,public text-only verification success; ownership proof; adopted locked evidence; paper-facing final-text claim
